"","Player","Points","Total_Rebounds","Assists","Steals","Blocks","Missed_Field_Goals","Missed_Free_Throws","Turnovers","Games","EFF","Salary"
"1","Al Horford",1249,596,263,68,121,519,26,107,82,2.8092228188815,1.2e+07
"2","Mike Muscala",195,117,34,13,27,76,8,27,60,0.605636248152515,947276
"3","Tiago Splitter",201,120,30,20,12,74,9,24,36,1.03219469846093,8500000
"4","Walter Tavares",25,21,3,1,6,8,5,5,11,0.318115907643942,1e+06
"5","Kelly Olynyk",687,281,105,52,33,303,32,74,69,1.25592517920264,2165160
"6","Tyler Zeller",364,178,29,10,22,152,20,46,60,0.348107715714486,2616975
"7","Andrea Bargnani",304,97,18,4,9,152,10,26,46,0.108539780903655,1362900
"8","Brook Lopez",1501,573,147,58,124,566,86,175,73,1.75150003318345,2e+07
"9","Henry Sims",91,72,9,9,14,44,5,12,14,1.33980780026494,161622
"10","Cameron Bairstow",34,28,6,2,3,27,1,4,18,0.238528219002858,845059
"11","Cristiano Felicio",105,102,26,6,13,32,10,13,31,0.831557842193946,525090
"12","Joakim Noah",124,255,110,18,29,82,23,52,29,2.05769136238059,13400000
"13","Pau Gasol",1187,793,294,42,146,528,60,164,72,2.77136897996695,7448760
"14","Al Jefferson",562,301,70,30,41,260,39,34,47,1.64237849911767,13833333
"15","Cody Zeller",638,455,71,57,63,206,57,68,73,1.70148952998615,4204200
"16","Frank Kaminsky",606,335,98,38,43,310,40,58,81,0.994542562880082,2612500
"17","Anderson Varejao",80,91,20,11,5,44,5,16,31,0.622949004777222,NA
"18","Channing Frye",196,93,26,8,8,90,3,13,26,0.906107395602776,7807579
"19","Sasha Kaun",23,26,3,4,5,8,6,7,25,0.199352177253025,1300000
"20","Timofey Mozgov",475,337,33,22,57,156,27,71,76,0.822068053440171,4950000
"21","JaVale McGee",172,133,3,5,26,57,18,21,34,0.594941717626865,1270964
"22","Salah Mejri",125,123,10,8,36,29,19,23,34,0.86090862347882,525093
"23","Zaza Pachulia",650,718,128,64,22,251,64,119,76,1.63046937867922,5200000
"24","J.J. Hickson",137,87,16,10,12,54,32,16,20,0.649427691369318,5613500
"25","Joffrey Lauvergne",465,290,56,13,15,185,7,54,59,0.776590211243472,1709720
"26","Jusuf Nurkic",263,175,40,24,44,141,38,55,32,1.00016531162182,1842000
"27","Nikola Jokic",796,560,189,79,50,293,36,104,80,2.22629843377948,1300000
"28","Andre Drummond",1314,1198,67,119,112,508,378,155,81,1.68436290579013,3272091
"29","Aron Baynes",514,384,51,21,52,190,39,67,81,0.817938345138571,6500000
"30","Joel Anthony",18,21,1,2,12,4,2,2,19,0.516098408294316,2500000
"31","Andrew Bogut",375,492,162,33,114,104,26,83,70,2.30929686180076,1.2e+07
"32","Festus Ezeli",320,257,32,18,50,103,62,38,46,1.06247339153486,2008748
"33","Jason Thompson",60,54,19,4,8,22,12,7,28,0.496233828205056,6431250
"34","Marreese Speights",512,239,61,19,34,259,20,66,72,0.497225343750633,3815000
"35","Chuck Hayes",4,8,2,0,0,1,0,3,2,0.0329008089161744,83583
"36","Clint Capela",542,494,47,59,92,166,131,60,77,1.4938942299965,1242720
"37","Dwight Howard",976,835,98,69,113,228,242,166,71,1.64910530021762,22359364
"38","Ian Mahinmi",660,507,104,65,75,184,93,100,71,1.83730222179825,4e+06
"39","Jordan Hill",645,451,87,36,37,271,36,92,73,1.05923325889804,4e+06
"40","Myles Turner",619,332,41,25,86,266,33,67,60,1.23822164876889,2357760
"41","Cole Aldrich",328,288,50,47,68,91,24,64,60,1.64325811905318,1100600
"42","DeAndre Jordan",980,1059,90,51,177,151,353,107,77,2.14058840248031,19500000
"43","Jeff Ayres",30,22,5,0,3,11,0,6,17,0.168232579373508,317232
"44","Robert Sacre",87,72,14,4,10,44,13,12,25,0.410783376569898,981348
"45","Roy Hibbert",481,398,95,32,110,229,28,76,81,1.39375738082071,15500000
"46","Tarik Black",133,157,16,14,18,47,26,22,39,0.724056341057123,845059
"47","Chris Andersen",92,89,9,14,10,28,10,7,20,1.40160556401147,5e+06
"48","Jarnell Stokes",0,2,0,0,0,0,0,0,2,0.123470839697208,NA
"49","Marc Gasol",861,362,196,50,70,379,42,118,52,2.23202481710858,19700000
"50","Ryan Hollins",116,87,10,6,20,27,16,21,32,0.521034375265477,593056
"51","Amar'e Stoudemire",300,222,27,18,41,96,17,47,52,0.935603198513937,1499187
"52","Hassan Whiteside",1040,865,30,44,269,269,115,137,73,2.86717057018579,981348
"53","Greg Monroe",1210,696,178,72,67,450,80,129,79,2.110027780854,16400000
"54","John Henson",397,221,54,18,109,127,48,64,57,1.28418156892706,2943221
"55","Miles Plumlee",314,232,16,21,50,93,25,40,61,0.925633703327664,2109294
"56","Gorgui Dieng",827,585,143,94,96,271,43,140,82,2.26667769152043,1474440
"57","Karl-Anthony Towns",1503,857,161,58,138,528,52,183,82,2.30678736000465,5703600
"58","Nikola Pekovic",54,21,11,1,0,31,4,9,12,-0.0392831381681486,12100000
"59","Alexis Ajinca",352,269,31,19,36,165,10,54,59,0.756065417206751,4300000
"60","Kendrick Perkins",91,128,31,11,11,35,14,41,37,0.413841777275214,1499200
"61","Omer Asik",269,414,26,21,23,91,51,60,68,0.658253991745736,1.1e+07
"62","Kevin Seraphin",187,126,47,8,36,121,4,43,48,0.517766705580611,2800000
"63","Robin Lopez",842,602,114,16,129,305,33,133,82,1.43342740652418,1.3e+07
"64","Enes Kanter",1038,664,33,26,33,305,51,115,82,0.954631830516139,16400000
"65","Nazr Mohammed",8,4,0,0,0,2,0,3,5,-0.199782284170158,352750
"66","Steven Adams",636,533,62,42,89,165,82,84,80,1.46467868691977,2279040
"67","Dewayne Dedmon",255,228,13,22,46,78,19,32,58,1.01371710435191,947278
"68","Jason Smith",546,219,62,33,65,259,13,57,76,0.972714751462849,4300000
"69","Nikola Vucevic",1181,576,179,53,70,513,37,123,65,2.14989406644305,11250000
"70","Elton Brand",70,63,18,9,8,41,1,11,17,1.1013025239881,890693
"71","Jahlil Okafor",928,373,65,22,61,384,61,124,53,0.605853679106368,4582680
"72","Nerlens Noel",747,542,122,118,100,281,93,158,67,2.43520189536682,3457800
"73","Alex Len",703,594,97,38,62,360,65,145,78,0.77340963615689,3807120
"74","Tyson Chandler",472,576,64,36,44,131,65,93,66,1.34014965844854,1.3e+07
"75","Chris Kaman",44,24,11,1,1,23,0,8,16,0.190205944242374,5e+06
"76","Mason Plumlee",749,628,226,68,85,250,120,154,82,1.83552074936541,1415520
"77","DeMarcus Cousins",1748,747,214,101,92,731,187,249,65,1.71586317153435,14728844
"78","Kosta Koufos",529,423,33,40,70,208,47,48,78,1.27441101147517,7500000
"79","Willie Cauley-Stein",463,352,37,48,66,148,44,46,66,1.60457938258286,3398280
"80","Boban Marjanovic",297,194,21,12,23,69,27,29,54,0.732251350873358,1200000
"81","Matt Bonner",76,27,9,6,1,28,1,3,30,0.400600675197776,1499187
"82","Tim Duncan",522,447,163,47,78,226,39,90,61,2.19474789858682,5e+06
"83","Bismack Biyombo",454,655,29,19,133,132,84,71,82,1.4345628326895,3e+06
"84","Jonas Valanciunas",768,547,42,25,80,233,51,85,60,1.64569393521667,4660482
"85","Lucas Nogueira",65,46,7,12,12,16,7,11,29,0.679148500558726,1842000
"86","Jeff Withey",217,173,20,21,53,75,16,28,51,1.13597758270493,947276
"87","Rudy Gobert",557,668,91,45,135,156,122,114,61,2.19152498435636,1175880
"88","Tibor Pleiss",24,15,2,1,2,14,0,8,12,-0.060637094352589,3e+06
"89","Marcin Gortat",1012,741,106,47,96,331,61,121,75,2.03746511686566,11217391
"90","Kris Humphries",134,71,13,10,7,54,13,14,21,0.497070851808979,388025
"91","Mike Scott",464,206,78,25,17,200,13,42,75,0.751260556806181,3333333
"92","Paul Millsap",1385,732,265,147,139,565,99,191,81,2.97183132982632,1.9e+07
"93","Amir Johnson",577,505,138,52,83,177,52,94,79,1.75485195812396,1.2e+07
"94","David Lee",214,130,54,12,13,105,11,38,30,0.740986574152764,15493680
"95","Jared Sullinger",834,673,187,75,47,455,58,102,81,1.74276307270035,2269260
"96","Jonas Jerebko",340,288,62,20,24,168,17,52,78,0.631820250964732,5e+06
"97","Jordan Mickey",21,13,1,0,11,14,5,1,16,0.259839269101871,1200000
"98","Chris McCullough",112,68,9,28,12,65,12,15,24,1.14278598467922,1140240
"99","Thaddeus Young",1102,660,135,112,37,468,58,136,73,2.0307222741816,11200000
"100","Thomas Robinson",307,359,46,39,36,161,62,69,71,0.4272436391882,981300
"101","Willie Reed",182,122,10,6,30,57,25,16,39,0.523161819418787,947276
"102","Bobby Portis",436,337,52,25,22,250,18,54,62,0.783743487165191,1391160
"103","Nikola Mirotic",777,362,100,58,46,361,35,102,66,1.18846231578333,5543725
"104","Taj Gibson",627,504,106,47,77,237,45,78,73,1.7728809486382,8500000
"105","Marvin Williams",948,521,110,58,77,409,24,62,81,2.09123805207092,7e+06
"106","Spencer Hawes",340,244,109,22,27,182,11,58,57,1.06887109456284,5543725
"107","Tyler Hansbrough",104,89,8,12,7,39,27,12,44,0.0646890411498737,1185784
"108","Kevin Love",1234,762,186,58,41,568,56,142,77,1.5420719074447,19500000
"109","Tristan Thompson",643,738,62,38,51,173,93,61,82,1.2743680465178,14260870
"110","Charlie Villanueva",319,152,24,18,15,202,2,31,62,0.448039535119217,1499187
"111","Dirk Nowitzki",1372,489,132,52,52,614,30,84,75,1.6715309384879,8333334
"112","Dwight Powell",399,273,44,36,24,150,37,40,69,0.802364610101132,845059
"113","Darrell Arthur",527,293,96,53,48,268,13,66,70,1.47594794602302,2814000
"114","Kenneth Faried",835,581,79,32,60,277,86,91,67,1.02929157758413,11235955
"115","Anthony Tolliver",383,229,52,26,16,204,18,28,72,0.694737028515226,3e+06
"116","Ersan Ilyasova",589,282,55,38,27,292,30,59,52,0.931130871807813,NA
"117","Justin Harper",13,1,0,1,0,6,1,2,5,-0.215752972792218,99418
"118","Tobias Harris",447,168,70,18,12,182,8,30,27,1.90468571092231,1.6e+07
"119","Draymond Green",1131,769,598,119,113,418,100,259,81,3.29411838499966,14300000
"120","James Michael McAdoo",117,58,17,10,8,39,23,16,41,0.0357137142155972,845059
"121","Kevon Looney",9,10,0,0,0,3,0,1,5,0.207943580908261,1131960
"122","Donatas Motiejunas",230,109,41,17,5,115,19,44,37,0.0730270568784012,2288205
"123","Montrezl Harrell",140,65,17,11,11,32,22,17,39,0.224873312115465,1e+06
"124","Terrence Jones",434,211,41,23,39,201,39,49,50,0.564291580307867,2489530
"125","Lavoy Allen",428,424,76,26,42,179,27,69,79,0.98736677358198,3700000
"126","Rakeem Christmas",4,1,0,0,0,0,0,0,1,0.453386113519594,1e+06
"127","Shayne Whittington",11,12,3,1,1,6,1,5,7,0.0173962405419981,845059
"128","Alex Stepheson",2,2,0,0,2,0,2,0,4,0.0213658726324028,61776
"129","Blake Griffin",749,294,170,28,17,302,53,83,35,1.26428893718626,18907725
"130","Branden Dawson",5,4,0,0,1,3,0,0,6,0.198273516384958,525093
"131","Luc Mbah a Moute",231,171,30,44,19,113,27,34,75,0.617567179076936,1270964
"132","Brandon Bass",473,285,74,33,55,143,23,42,66,1.56588648148233,3e+06
"133","Julius Randle",919,829,144,53,29,477,77,149,81,0.865543163627181,3132240
"134","Larry Nance Jr.",349,312,44,54,23,142,15,41,63,1.51751230642984,1155600
"135","Ryan Kelly",152,121,20,13,10,94,17,18,36,0.390270468279732,1724250
"136","Brandan Wright",83,43,6,5,15,17,11,10,12,0.925979004290486,5500000
"137","JaMychal Green",578,373,67,46,33,265,34,83,78,0.804361747783055,845059
"138","Jarell Martin",153,86,15,8,7,62,17,19,27,0.167300603934198,1230840
"139","Zach Randolph",1040,529,142,43,13,476,44,105,68,1.02737058979497,9638555
"140","Chris Bosh",1010,390,128,36,34,409,55,78,53,1.29719432931495,22192730
"141","Josh McRoberts",150,105,81,18,7,93,12,30,42,0.735405030465085,5543725
"142","Luol Deng",911,443,140,74,29,406,47,81,74,1.54871516199411,10151612
"143","Udonis Haslem",59,75,14,5,2,38,4,5,37,0.373878185329016,2854940
"144","Chris Copeland",50,10,11,2,0,34,1,6,24,0.0136645284837537,NA
"145","Jabari Parker",1070,395,130,69,29,456,53,116,76,0.966345624102229,5152440
"146","Johnny O'Bryant",200,176,32,18,8,123,13,31,66,0.359379865502586,845059
"147","Adreian Payne",132,111,29,16,11,92,9,36,52,0.25031181899388,1938840
"148","Greg Smith",43,42,6,4,1,14,10,7,18,0.0306836527675536,247623
"149","Kevin Garnett",122,150,62,28,10,61,7,16,38,1.60853005899376,8500000
"150","Nemanja Bjelica",308,210,83,26,21,125,15,47,60,0.968515332956251,4e+06
"151","Anthony Davis",1481,627,116,78,125,576,104,121,61,2.34814141307032,7070730
"152","Ryan Anderson",1124,396,73,38,25,532,29,90,66,0.76436099546722,8500000
"153","Kristaps Porzingis",1028,526,93,53,134,513,39,121,72,1.87371506304644,4131720
"154","Kyle O'Quinn",309,250,72,20,49,142,14,61,65,0.965826745061961,3750000
"155","Lance Thomas",484,131,53,22,7,213,17,57,59,0.207114984140536,1650000
"156","Lou Amundson",52,49,12,6,7,34,13,15,29,-0.0299904943731883,1650000
"157","Josh Huestis",14,10,0,1,2,7,4,3,5,-0.343238347701456,1140240
"158","Mitch McGary",26,18,3,1,2,12,6,7,20,-0.195461510299413,1463040
"159","Nick Collison",123,171,52,15,16,59,10,50,59,0.453165119299704,3750000
"160","Serge Ibaka",983,533,66,38,148,453,30,108,78,1.85775982609466,12350000
"161","Aaron Gordon",719,507,128,59,55,305,64,66,78,1.54915243243068,4171680
"162","Andrew Nicholson",384,201,25,10,22,164,14,41,56,0.466898563603885,2380594
"163","Carl Landry",351,146,32,12,9,111,24,22,36,0.645736602674849,6500000
"164","Christian Wood",61,38,3,5,7,31,8,2,17,0.461054878939581,305789
"165","Richaun Holmes",287,135,33,19,40,108,23,32,51,0.796453160305063,1050000
"166","Alan Williams",29,38,5,4,5,14,5,6,10,0.646231682042694,114285
"167","Cory Jefferson",22,16,0,0,1,13,2,0,8,0.108989807326023,421449
"168","Jon Leuer",567,373,72,38,30,242,24,75,67,1.06420955221679,1035000
"169","Markieff Morris",430,194,87,33,17,260,26,90,37,0.249592524502605,NA
"170","Mirza Teletovic",965,302,89,32,21,445,35,84,79,0.424722886590931,5500000
"171","Cliff Alexander",10,6,0,1,2,5,0,1,8,0.324103172169575,525093
"172","Ed Davis",526,599,88,57,72,131,90,64,81,1.53938611337358,7e+06
"173","Meyers Leonard",511,314,92,8,18,240,11,77,61,0.586403529949439,3075880
"174","Noah Vonleh",283,305,30,27,26,161,13,50,78,0.664860699247422,2637720
"175","Eric Moreland",8,11,1,0,4,3,2,3,8,0.140380229025843,845059
"176","Quincy Acy",307,188,27,29,24,95,18,27,59,0.972796686566812,981348
"177","Boris Diaw",485,233,176,26,21,181,20,97,76,0.759950983705991,7e+06
"178","David West",554,309,143,44,55,204,17,68,78,1.59679071071258,1499000
"179","LaMarcus Aldridge",1331,632,110,38,81,509,43,99,74,1.87715774428015,19500000
"180","James Johnson",287,126,67,29,33,126,29,54,57,0.571420952230453,2500000
"181","Luis Scola",664,360,66,46,27,329,23,68,76,0.945174224629761,3e+06
"182","Patrick Patterson",543,342,94,53,32,289,5,65,79,1.322506582938,6268675
"183","Derrick Favors",1016,503,94,74,91,393,74,104,62,1.98081224322794,11933333
"184","Trevor Booker",463,452,84,59,41,198,35,81,79,1.29706234811577,4775000
"185","Trey Lyles",488,299,59,26,18,245,25,65,80,0.429491862029465,2239800
"186","Drew Gooden",82,85,13,8,11,70,5,13,30,0.484507149117655,3300000
"187","Jared Dudley",638,286,170,75,18,254,26,80,81,1.45343928611324,4250000
"188","Nene Hilario",525,259,97,54,26,175,78,76,57,0.615714419066804,1.3e+07
"189","Dennis Schroder",879,204,349,70,9,452,38,183,80,0.500752580822358,1763400
"190","Jeff Teague",1239,214,470,97,24,554,51,218,79,1.00552337129224,8e+06
"191","Kirk Hinrich",5,12,14,2,1,9,0,3,11,0.503563739805239,2870000
"192","Shelvin Mack",93,22,38,8,0,55,3,14,24,0.24089934929935,NA
"193","Isaiah Thomas",1823,243,509,91,9,791,70,220,82,0.629080312423095,6912869
"194","Marcus Smart",558,255,185,91,18,345,37,80,61,1.52067202448956,3431040
"195","Terry Rozier",72,63,37,6,1,77,2,19,39,0.261681236716775,1824360
"196","Donald Sloan",424,173,268,32,4,196,26,80,61,0.831555496685797,1015421
"197","Jarrett Jack",411,136,236,34,7,218,12,94,32,1.4165686376431,6300000
"198","Shane Larkin",566,180,342,95,12,280,24,146,78,1.12313758706753,1500000
"199","Aaron Brooks",491,101,180,30,10,281,15,82,69,0.397997133377788,2e+06
"200","Derrick Rose",1080,225,311,44,14,601,37,175,66,0.360548748609468,20093063
"201","Brian Roberts",145,29,38,7,1,64,3,16,30,0.305361741197053,NA
"202","Jorge Gutierrez",22,7,17,3,0,5,1,6,12,0.294306277414785,301444
"203","Kemba Walker",1689,357,421,126,39,763,67,171,81,1.82810861267158,1.2e+07
"204","Jordan McRae",62,12,15,0,1,29,4,9,15,-0.0832888452162167,172972
"205","Kyrie Irving",1041,157,249,56,18,485,22,124,53,1.12925944020413,14746000
"206","Matthew Dellavedova",569,162,337,44,9,304,9,116,76,0.887683510499761,1147280
"207","Mo Williams",338,72,98,14,5,170,4,57,41,0.428526466979049,2100000
"208","Devin Harris",487,138,118,60,13,207,39,66,64,0.713221385815219,4053000
"209","J.J. Barea",808,152,302,26,2,394,22,113,74,0.393297362858466,4e+06
"210","Raymond Felton",763,258,284,68,15,405,27,121,80,1.06814972050107,3950313
"211","D.J. Augustin",325,52,132,25,2,127,17,54,28,0.561853798526821,3e+06
"212","Emmanuel Mudiay",872,232,372,65,35,576,69,217,68,0.305954170951943,3102240
"213","Erick Green",0,1,1,0,0,1,0,0,3,0.0858690119647017,1e+05
"214","Jameer Nelson",299,115,190,25,5,194,5,66,39,1.00545947965372,4500000
"215","Brandon Jennings",157,46,70,11,2,90,11,22,23,0.408111223797666,NA
"216","Reggie Jackson",1489,253,492,59,11,704,46,223,79,0.583944570152908,1.4e+07
"217","Spencer Dinwiddie",58,17,22,3,0,35,14,7,12,-0.649359787379685,845059
"218","Steve Blake",254,89,200,24,5,147,4,81,58,0.558521361487767,2170465
"219","Shaun Livingston",488,169,237,57,27,176,13,78,78,1.43028580615783,5543725
"220","Stephen Curry",2375,430,527,169,15,793,37,262,79,2.60997188932358,11370786
"221","Andrew Goudelock",22,2,4,6,2,11,1,7,8,0.461711808889374,200600
"222","Patrick Beverley",700,250,239,94,26,336,28,91,71,1.77334688709334,6500000
"223","Ty Lawson",309,89,180,43,6,176,24,82,53,0.444682837300856,12404495
"224","George Hill",894,298,259,83,17,413,36,101,74,1.49589094500687,8e+06
"225","Joseph Young",154,50,65,15,0,107,5,33,41,0.196884531414469,1e+06
"226","Rodney Stuckey",517,156,142,43,8,260,27,76,58,0.639442689994357,6500000
"227","Chris Paul",1446,310,738,152,13,599,34,194,74,2.67337115057891,21468696
"228","Pablo Prigioni",145,114,130,53,1,92,1,49,59,1.00226272326444,981348
"229","D'Angelo Russell",1054,274,266,93,13,564,50,196,80,0.541524400808363,5103120
"230","Marcelo Huertas",237,90,182,26,7,133,2,80,53,0.699867803858861,525093
"231","Beno Udrih",47,9,26,3,1,26,0,11,8,0.513456805671282,NA
"232","Briante Weber",29,24,20,9,3,25,1,9,6,2.08169663913475,30888
"233","Bryce Cotton",4,0,0,0,0,0,0,0,5,0.0476943271802319,64622
