"","Player","Points","Total_Rebounds","Assists","Steals","Blocks","Missed_Field_Goals","Missed_Free_Throws","Turnovers","Games","EFF","Salary"
"234","Jordan Farmar",110,25,37,15,2,58,0,18,12,1.28308683371565,191456
"235","Mario Chalmers",595,143,211,80,12,240,43,101,55,1.03229290065619,4300000
"236","Mike Conley",857,164,342,67,16,402,38,84,56,1.48099800874102,9588426
"237","Ray McCallum",69,16,27,7,3,51,2,13,10,0.639100074056884,111444
"238","Russ Smith",23,9,11,5,1,15,5,7,15,0.0192511436952345,816482
"239","Goran Dragic",1018,277,419,71,17,458,45,185,72,1.11254161807762,14780000
"240","Giannis Antetokounmpo",1350,612,345,94,113,500,113,208,80,2.93462124983778,1953960
"241","Greivis Vasquez",130,47,91,10,0,93,4,40,23,0.285721626342711,6600000
"242","Michael Carter-Williams",623,276,281,80,41,304,56,153,54,1.80889621269022,2399040
"243","Tyler Ennis",206,75,95,25,1,103,9,46,46,0.465497240527165,1662360
"244","Andre Miller",88,24,58,9,0,22,4,25,26,0.342929143396746,1499187
"245","Ricky Rubio",766,326,658,162,10,367,48,193,76,2.26269140327002,12365000
"246","Tyus Jones",156,47,108,31,3,100,11,33,37,0.651431955465983,1282080
"247","Ish Smith",239,92,154,24,6,130,10,45,27,1.41469578165513,NA
"248","Jrue Holiday",1089,195,391,88,22,525,34,167,65,1.32211255506226,10595507
"249","Nate Robinson",0,0,4,1,0,1,0,0,2,0.56882768561735,44000
"250","Norris Cole",477,151,167,37,5,288,13,75,45,0.861088643566406,3036927
"251","Tim Frazier",210,71,120,23,1,93,14,38,16,1.45246566911703,144157
"252","Jerian Grant",426,143,177,50,10,237,27,87,76,0.524405336950562,1572360
"253","Jose Calderon",544,229,299,63,7,246,6,87,72,1.5222865804121,7402812
"254","Langston Galloway",625,288,207,77,22,357,28,61,82,1.44697971185851,845059
"255","Cameron Payne",283,85,108,36,6,164,5,44,57,0.706872603668476,2021520
"256","Russell Westbrook",1878,626,834,163,20,788,108,342,80,2.20473477884956,16744218
"257","C.J. Watson",142,66,88,19,5,90,5,25,33,0.902664088330569,5e+06
"258","Elfrid Payton",778,261,468,89,20,412,78,177,73,0.884513396161603,2505720
"259","Keith Appling",6,1,1,1,0,6,0,3,5,-0.13219942442136,161776
"260","Shabazz Napier",203,55,97,23,1,133,12,46,55,0.150211110228957,1294440
"261","Kendall Marshall",111,28,73,16,2,75,4,43,30,0.198797699552908,2144722
"262","Phil Pressey",55,23,46,11,1,34,9,19,14,0.261717773567723,172739
"263","T.J. McConnell",493,250,367,95,10,246,15,140,81,1.44788201992368,525093
"264","Archie Goodwin",505,142,118,27,13,246,63,100,57,-0.281676752856769,1160160
"265","Eric Bledsoe",632,125,190,63,19,269,34,110,31,1.60553907037342,13086957
"266","Ronnie Price",331,99,147,74,13,186,10,70,62,1.10815361608601,1499187
"267","Damian Lillard",1879,302,512,65,28,856,50,242,75,1.0389405258157,4236287
"268","Darren Collison",1035,169,318,76,4,399,32,130,74,0.922811310627529,5013559
"269","Rajon Rondo",859,435,839,141,10,427,63,278,72,2.23099806342454,9500000
"270","Seth Curry",299,60,67,22,3,122,9,36,44,0.478471115180944,947276
"271","Patrick Mills",690,158,226,59,6,352,11,76,81,0.871333421028884,3578947
"272","Tony Parker",857,176,379,54,11,360,41,131,72,0.834458548701558,13437500
"273","Delon Wright",103,37,31,8,3,44,9,16,27,0.301358644875388,1509360
"274","Kyle Lowry",1634,365,494,158,34,686,93,225,77,1.78247967376871,1.2e+07
"275","Raul Neto",476,120,174,62,2,238,18,109,81,0.41090619589028,1e+06
"276","Trey Burke",679,112,148,35,6,372,15,80,64,0.351194245973687,2658240
"277","John Wall",1531,379,789,145,59,777,72,318,77,2.23797153313255,15851950
"278","Ramon Sessions",810,203,239,46,5,312,69,115,82,0.203489343448584,2170465
"279","Kent Bazemore",872,379,171,98,38,405,28,138,75,1.69231188129704,2e+06
"280","Thabo Sefolosha",480,334,107,85,37,184,37,68,75,1.64166576339814,4e+06
"281","Coty Clarke",6,1,0,0,0,2,0,1,3,-0.068130720278725,61776
"282","Jae Crowder",1038,373,135,126,35,453,43,83,73,2.06482044354668,6e+06
"283","Bojan Bogdanovic",887,255,99,29,5,425,22,115,79,0.279884930986423,3425510
"284","Joe Johnson",671,224,232,40,2,361,16,116,57,1.06963516617655,24894863
"285","Rondae Hollis-Jefferson",167,154,43,39,16,75,15,26,29,1.94623314976308,1335480
"286","Sergey Karasev",97,58,35,6,2,44,2,22,40,0.367093316442695,1599840
"287","Doug McDermott",764,195,59,14,6,353,12,53,81,0.383890554807683,2380440
"288","Mike Dunleavy",222,83,39,14,10,111,8,26,31,0.750698923364412,4500000
"289","Tony Snell",338,199,63,16,17,213,3,52,64,0.689428711653281,1535880
"290","Michael Kidd-Gilchrist",89,45,9,3,3,28,9,8,7,0.791080255499206,6331404
"291","Nicolas Batum",1046,428,403,65,43,501,29,205,70,2.10899827509022,12235750
"292","P.J. Hairston",286,128,29,24,7,177,8,24,48,0.61886909026316,NA
"293","Dahntay Jones",13,5,2,1,2,8,0,0,1,3.44070091003145,8819
"294","James Jones",178,50,14,11,10,84,5,13,48,0.364890314360307,1499000
"295","LeBron James",1920,565,514,104,49,679,132,249,76,2.04665438575757,22971000
"296","Richard Jefferson",410,128,59,33,14,169,29,43,74,0.41732350420373,1499000
"297","Chandler Parsons",837,285,169,46,21,331,43,95,61,1.21917071340508,15361500
"298","Jeremy Evans",71,54,2,6,9,22,6,7,30,0.492681509478335,1100602
"299","Justin Anderson",208,132,29,19,25,104,11,24,55,0.785105627884295,1449000
"300","Axel Toupane",76,31,15,7,6,45,4,6,21,0.557758256660307,123552
"301","Danilo Gallinari",1036,281,135,42,19,413,57,77,53,1.06431776831276,1.4e+07
"302","JaKarr Sampson",134,61,16,12,17,61,7,19,26,0.841674553714594,285489
"303","Kostas Papanikolaou",67,40,16,13,5,42,5,21,26,0.338710665305755,350000
"304","Mike Miller",63,53,40,13,4,40,0,17,47,0.517483368785882,1499187
"305","Marcus Morris",1131,404,201,67,23,535,68,140,80,0.84829630423046,5e+06
"306","Reggie Bullock",122,68,27,10,2,55,1,8,37,0.679477193795716,1252440
"307","Stanley Johnson",593,306,118,55,12,375,22,114,73,0.689758705333341,2841960
"308","Andre Iguodala",457,263,219,73,19,192,32,79,65,1.78913237342136,11710456
"309","Harrison Barnes",774,325,117,41,10,338,32,57,66,1.2015370004101,3873398
"310","Corey Brewer",590,199,109,84,19,340,35,78,82,0.773482026805515,8200000
"311","K.J. McDaniels",89,42,10,7,6,43,6,17,37,0.169527533942061,3333333
"312","Michael Beasley",255,98,16,11,9,98,11,24,20,0.951166508066587,306527
"313","Sam Dekker",0,1,0,1,0,0,0,0,3,0.305948378898148,1646400
"314","Trevor Ariza",1025,366,188,160,26,502,35,113,81,2.05841706473956,8193030
"315","C.J. Miles",753,175,63,53,29,375,31,70,64,0.6771373097538,4394225
"316","Chase Budinger",216,121,49,29,9,113,14,31,49,0.71877692435177,5e+06
"317","Glenn Robinson",171,68,26,17,9,86,12,18,45,0.413506445735814,845000
"318","Paul George",1874,563,329,152,29,844,74,265,81,1.69677502838237,17120106
"319","Solomon Hill",246,166,57,37,11,115,6,33,59,1.04660077891722,1358880
"320","Jeff Green",293,91,40,18,21,153,25,24,27,0.744494489250847,9200000
"321","Lance Stephenson",204,108,60,24,3,84,9,48,43,0.637163346105589,NA
"322","Paul Pierce",417,186,71,33,17,253,12,58,68,0.648616389664542,3400000
"323","Wesley Johnson",549,248,49,89,56,307,16,54,80,1.47365593362813,1100600
"324","Anthony Brown",115,70,19,14,5,87,3,15,29,0.610443572355748,7e+05
"325","Kobe Bryant",1161,247,184,62,13,715,49,129,66,0.277093134301963,2.5e+07
"326","Metta World Peace",176,89,27,22,11,122,17,15,35,0.574337632063468,1499187
"327","James Ennis",16,7,2,4,2,9,4,2,10,0.140804116580264,845059
"328","Matt Barnes",758,420,163,78,57,429,27,121,76,1.72083808080507,3542500
"329","Justise Winslow",502,403,117,68,26,267,37,95,78,1.22032371483037,2481720
"330","Damien Inglis",36,31,10,6,3,24,1,11,20,0.401879211347037,855000
"331","Andrew Wiggins",1675,292,164,78,46,700,135,182,81,-0.141255214579938,5758680
"332","Damjan Rudez",75,20,11,3,1,37,0,13,33,0.0918903198186003,1149500
"333","Shabazz Muhammad",863,267,52,24,7,364,57,70,82,0.0842129202571709,2056920
"334","Tayshaun Prince",221,147,73,36,13,127,6,27,77,0.817755255802705,1499187
"335","Alonzo Gee",325,245,72,63,13,123,22,55,73,1.1039300382978,1375000
"336","Dante Cunningham",484,236,77,42,33,226,25,41,80,0.991010441090154,3e+06
"337","Jordan Hamilton",125,62,25,8,3,67,7,17,11,1.00872843115324,119462
"338","Luke Babbitt",327,148,53,11,7,167,11,23,47,0.711228068330216,1100000
"339","Carmelo Anthony",1573,556,299,62,38,740,69,176,72,1.58592692544548,22875000
"340","Cleanthony Early",31,26,6,2,3,28,1,9,17,0.180395936002007,845059
"341","Derrick Williams",746,296,75,29,9,311,62,61,80,0.309197135871291,4900000
"342","Thanasis Antetokounmpo",6,1,0,0,0,1,0,0,2,0.223149969859431,105888
"343","Kevin Durant",2029,589,361,69,85,683,51,250,72,2.72639521144619,20158622
"344","Kyle Singler",231,141,24,30,9,135,15,32,68,0.424971987845324,5e+06
"345","Evan Fournier",1213,225,213,96,2,500,39,133,79,1.02839946635788,2288205
"346","Mario Hezonja",478,176,109,39,17,237,5,97,79,0.642585863671318,3741480
"347","Jerami Grant",749,361,135,54,127,348,110,110,77,1.12448785558671,845059
"348","Robert Covington",858,419,97,105,40,438,37,143,67,1.53975619143544,1e+06
"349","Sonny Weems",17,12,2,0,0,14,1,4,7,-0.126409041146097,2800000
"350","P.J. Tucker",652,512,177,106,20,343,36,111,82,1.81681301723948,5500000
"351","T.J. Warren",515,147,44,37,16,220,19,32,47,1.03226447035125,2041080
"352","Al-Farouq Aminu",839,499,138,72,53,420,41,120,82,1.54296948221989,7500000
"353","Maurice Harkless",498,280,67,49,35,216,42,62,78,0.873281547442572,2894059
"354","Caron Butler",63,22,10,9,1,34,2,3,17,0.605922905262937,1499187
"355","Duje Dukan",6,4,1,1,0,8,0,0,1,1.01621534982721,525093
"356","Omri Casspi",813,410,95,56,17,323,56,94,69,1.01830395846971,3e+06
"357","Rudy Gay",1204,456,120,100,51,541,56,139,70,1.62873969905605,12403101
"358","Kawhi Leonard",1523,493,186,128,71,539,42,105,72,3.14802377781982,16500000
"359","Kyle Anderson",350,244,123,60,29,157,21,59,78,1.2880033723114,1142879
"360","Rasual Butler",124,56,24,13,23,55,5,8,46,0.781006822421509,1499187
"361","Bruno Caboclo",3,2,1,2,1,11,0,4,6,-0.0974834581988418,1524000
"362","DeMarre Carroll",286,122,27,44,6,165,20,28,26,1.1695800242993,13500000
"363","Terrence Ross",720,185,56,54,25,356,13,46,73,0.960312086493648,3553917
"364","Chris Johnson",205,132,45,32,20,122,8,40,70,0.647865532037653,981348
"365","Gordon Hayward",1578,397,296,95,27,681,84,202,80,0.992701332496606,15409570
"366","J.J. O'Brien",0,1,0,1,0,1,0,0,2,0.384364634167911,105888
"367","Joe Ingles",342,151,96,55,4,167,5,65,81,0.757853692885984,2250000
"368","Garrett Temple",582,212,140,69,18,304,34,64,80,0.955468702747593,1100602
"369","Jarell Eddie",63,23,5,5,1,45,0,1,26,0.282350281606087,561716
"370","Kelly Oubre",236,133,13,22,7,121,18,34,63,0.246686949920769,1920240
"371","Otto Porter",871,391,120,105,32,378,31,70,75,2.00386061963805,4662960
"372","Justin Holiday",63,27,11,13,4,49,5,13,26,0.476382196537995,NA
"373","Kyle Korver",739,260,164,60,35,348,9,98,80,1.99750854456488,5746479
"374","Lamar Patterson",84,50,39,9,2,52,6,23,35,0.431572434445468,525093
"375","Tim Hardaway",326,86,51,21,7,151,6,23,51,0.922254123557993,1304520
"376","Avery Bradley",1155,220,158,117,19,563,27,109,76,1.80163095406638,7730337
"377","Evan Turner",854,397,359,80,28,410,31,169,81,2.42636305797347,3425510
"378","James Young",29,26,9,6,1,25,3,5,29,0.302784484716119,1749840
"379","R.J. Hunter",97,37,13,14,4,62,1,11,36,0.615044263305969,1148640
"380","Markel Brown",363,122,91,38,15,195,23,54,62,0.913950557195413,845059
"381","Sean Kilpatrick",318,50,26,10,2,134,6,27,23,0.569521879060783,320594
"382","Wayne Ellington",586,174,83,48,5,343,9,45,76,0.964088036607031,1500000
"383","E'Twaun Moore",443,133,99,37,18,202,13,53,59,1.37738751510915,1015421
"384","Jimmy Butler",1399,358,321,110,43,565,80,132,67,2.99976039281613,15260000
"385","Aaron Harrison",18,15,2,6,0,14,7,4,21,-0.0324196253153141,525093
"386","Courtney Lee",250,87,60,33,12,122,3,23,28,2.50066550616387,5675000
"387","Jeremy Lamb",580,252,77,42,30,280,24,50,66,1.8128834793063,3034356
"388","Jeremy Lin",914,253,235,58,42,428,54,150,78,1.42925782052449,2100000
"389","Troy Daniels",242,57,21,11,3,98,4,24,43,0.473535428827655,947276
"390","Iman Shumpert",311,203,92,54,19,191,11,57,54,2.00453870003686,9e+06
"391","J.R. Smith",955,217,130,81,21,497,26,59,77,1.63284671989077,5e+06
"392","Jared Cunningham",104,29,19,12,2,59,18,18,40,-0.101013352256558,NA
"393","Joe Harris",3,3,2,0,0,3,0,1,5,0.129595818277827,NA
"394","John Jenkins",69,22,9,3,0,41,1,11,21,0.137773449713548,NA
"395","Wesley Matthews",977,238,151,78,17,523,20,78,78,1.57823029428924,16400000
"396","Gary Harris",932,220,147,97,18,406,24,98,76,1.76906752198047,1587480
"397","Randy Foye",323,105,112,26,16,216,8,58,54,1.06299415053285,NA
"398","Will Barton",1178,476,203,71,39,558,52,139,82,2.17660656899989,3333333
"399","Darrun Hilliard",152,45,27,9,1,79,11,19,38,0.152840789265175,525093
"400","Jodie Meeks",22,5,3,0,0,13,0,1,3,0.402567687571423,6270000
"401","Kentavious Caldwell-Pope",1105,282,138,110,17,557,43,105,76,1.62310352637246,2891760
"402","Brandon Rush",305,181,57,20,23,149,10,33,72,1.25476300274095,1270964
"403","Ian Clark",236,68,64,17,13,113,6,43,66,0.627749720008897,947276
"404","Klay Thompson",1771,306,166,60,49,735,28,138,80,2.04387392675135,15500000
"405","Leandro Barbosa",433,117,82,44,10,199,10,53,68,1.00111854530058,2500000
"406","James Harden",2376,501,612,139,51,907,117,374,82,2.53517397753943,15756438
"407","Jason Terry",422,79,103,47,9,225,6,49,72,0.904268169988475,1499187
"408","Marcus Thornton",472,115,66,34,3,261,7,40,47,0.995827046116428,1186000
"409","Monta Ellis",1121,271,383,150,37,585,44,203,81,2.42950656584142,10300000
"410","Austin Rivers",593,130,99,48,9,290,37,61,67,0.624205522210133,3100000
"411","C.J. Wilcox",70,12,10,10,2,40,3,2,23,0.507391941458901,1159680
"412","J.J. Redick",1226,139,106,42,5,458,23,78,75,0.762416225118389,6867000
"413","Jamal Crawford",1120,145,183,52,12,560,26,113,79,0.702503501241281,5675000
"414","Jordan Clarkson",1225,313,192,88,7,623,40,135,79,1.25707270973671,845059
"415","Lou Williams",1028,169,167,62,19,410,72,107,67,0.720654631334523,7e+06
"416","Nick Young",392,97,34,23,7,246,13,30,54,0.481437633850556,5219169
"417","Jordan Adams",7,2,3,3,0,4,2,2,2,0.264294101061608,1404600
"418","Tony Allen",535,296,70,110,18,254,48,78,64,2.00129688191322,5168539
"419","Vince Carter",395,146,56,38,16,210,14,35,60,1.2445078212781,4088091
"420","Xavier Munford",80,31,22,13,3,45,7,15,14,0.967579658391156,89588
"421","Dwyane Wade",1409,302,344,79,42,643,84,203,74,1.52723396760068,2e+07
"422","Gerald Green",616,163,56,38,19,357,20,46,69,0.931858126403137,1356000
"423","Josh Richardson",341,107,73,36,25,149,21,35,52,1.51637478783113,525093
"424","Tyler Johnson",314,109,79,24,14,125,13,47,36,1.62379316242917,845059
"425","Jerryd Bayless",541,141,163,47,11,252,20,73,52,1.52342276694413,3e+06
"426","Khris Middleton",1434,302,331,131,19,635,35,180,79,2.30347322039876,1.5e+07
"427","O.J. Mayo",321,105,118,48,8,202,9,72,41,1.41828128155612,8e+06
"428","Rashad Vaughn",217,88,39,29,16,185,3,28,70,0.76190989543296,1733040
"429","Kevin Martin",415,81,46,17,1,208,17,41,39,0.201272110430161,7085000
"430","Zach LaVine",1150,228,251,69,17,526,42,155,82,1.08217874113367,2148360
"431","Bryce Dejean-Jones",79,48,15,10,2,41,10,11,14,0.854296245268577,281659
"432","Eric Gordon",686,99,121,43,14,321,14,73,45,1.38639885291696,15514031
"433","Jimmer Fredette",2,0,1,1,0,3,0,1,4,0.0618039495582515,54812
"434","Orlando Johnson",10,6,2,1,0,13,1,3,5,-0.163704440807577,55722
"435","Tyreke Evans",379,129,164,32,8,178,19,73,25,2.43905094970576,11227000
"436","Arron Afflalo",909,266,144,25,10,445,21,82,71,1.12585579078944,8e+06
"437","Sasha Vujacic",296,149,84,34,5,171,7,44,61,1.06601368429132,1356146
"438","Andre Roberson",337,251,47,53,42,138,21,35,70,2.22387909672142,1210800
"439","Anthony Morrow",380,62,24,22,5,197,10,17,68,0.376674421739736,3344000
"440","Dion Waiters",762,202,154,81,15,424,45,120,78,0.847732171949107,5138430
"441","Devyn Marble",60,38,12,13,1,50,14,7,28,0.150295653840556,845059
"442","Victor Oladipo",1153,345,282,116,54,545,42,153,72,3.13516134396685,5192520
"443","Hollis Thompson",758,272,99,36,24,410,27,76,77,1.2019441638888,947276
"444","Isaiah Canaan",846,174,137,56,12,462,30,91,77,0.761463278704598,947276
"445","Nik Stauskas",617,183,138,44,20,335,27,94,73,0.967561761941692,2869440
"446","Brandon Knight",1018,202,263,61,20,524,27,177,52,1.5245514993525,1.2e+07
"447","Devin Booker",1048,187,200,44,20,500,41,160,76,0.570703874061361,2127840
"448","Allen Crabbe",832,216,99,63,16,367,15,64,81,1.42907370965279,947276
"449","C.J. McCollum",1666,259,341,97,23,790,39,196,80,1.62538294554421,2525160
"450","Gerald Henderson",624,211,75,39,19,297,34,68,72,0.944476520511245,6e+06
"451","Luis Montero",14,4,1,0,0,14,1,4,12,-0.239523508131865,525093
"452","Pat Connaughton",36,32,10,2,0,36,0,10,34,0.160078244403727,525093
"453","Ben McLemore",531,148,79,52,10,260,29,99,68,0.536053359621103,3156600
"454","James Anderson",179,86,41,21,14,111,7,42,51,0.809151842442978,1015421
"455","Marco Belinelli",696,117,127,37,2,390,23,80,68,0.330199668245365,6333333
"456","Danny Green",572,303,141,79,64,350,12,75,79,2.83830864123525,1e+07
"457","Jonathon Simmons",331,96,58,24,5,120,23,53,55,0.418723582505766,525093
"458","Manu Ginobili",555,146,177,66,11,238,21,99,58,1.53062929333626,2814000
"459","Cory Joseph",677,210,250,63,20,328,41,102,80,1.37810997255237,7e+06
"460","DeMar DeRozan",1830,349,315,81,21,763,98,175,78,1.22638471354759,9500000
"461","Norman Powell",273,111,47,29,10,132,10,32,49,1.12431879820017,650000
"462","Alec Burks",412,109,63,18,4,197,35,51,31,0.110516602367644,9213484
"463","Elijah Millsap",36,35,19,7,3,28,5,9,20,0.696135440230521,362878
"464","Rodney Hood",1149,267,213,73,16,564,28,125,79,1.46256382428355,1348440
"465","Alan Anderson",65,27,14,4,1,38,4,2,13,0.739022087545703,4e+06
"466","Bradley Beal",958,188,162,54,11,440,41,112,55,0.995074683335916,5694674
"467","Gary Neal",390,83,47,20,1,174,8,29,40,0.758356703312561,2100000
