"Player","Team","Number","Position","Height","Weight","Birth_Date","Country","Experience","College","Rank_Totals","Age","Games","Games_Started","Minutes_Played","Field_Goals","Field_Goal_Attempts","Field_Goal_Percentage","3-Point_Field_Goals","3-Point_Field_Goal_Attempts","3-Point_Field_Goal_Percentage","2-Point_Field_Goals","2-point_Field_Goal_Attempts","2-Point_Field_Goal_Percentage","Effective_Field_Goal_Percentage","Free_Throws","Free_Throw_Attempts","Free_Throw_Percentage","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank_Salary","Salary"
"Andrew Wiggins","MIN",22,"SF",2.07,90.26,1995-02-23,"CA",1,"University of Kansas",1,20,81,81,2845,594,1294,0.459,57,190,0.3,537,1104,0.486,0.481,430,565,0.761,106,186,292,164,78,46,182,165,1675,5,5758680
"Anthony Bennett","MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3650000
"Damjan Rudez","MIN",10,"SF",1.86,103.42,1986-06-17,"HR",1,NA,14,29,33,0,277,25,62,0.403,17,50,0.34,8,12,0.667,0.54,8,8,1,5,15,20,11,3,1,13,33,75,16,1149500
"Gorgui Dieng","MIN",5,"C",1.86,109.32,1990-01-18,"SN",2,"University of Louisville",5,26,82,39,2220,308,579,0.532,6,20,0.3,302,559,0.54,0.537,205,248,0.827,157,428,585,143,94,96,140,219,827,14,1474440
"Greg Smith","MIN",4,"PF",1.86,113.4,1991-01-08,"US",4,"California State University, Fresno",15,25,18,0,192,18,32,0.563,0,0,NA,18,32,0.563,0.563,7,17,0.412,12,30,42,6,4,1,7,28,43,17,247623
"Karl-Anthony Towns","MIN",32,"C",2.13,110.68,1995-11-15,"US",0,"University of Kentucky",2,20,82,82,2627,625,1153,0.542,30,88,0.341,595,1065,0.559,0.555,223,275,0.811,228,629,857,161,58,138,183,245,1503,6,5703600
"Kevin Garnett","MIN",21,"PF",1.86,108.86,1976-05-19,"US",20,NA,11,39,38,38,556,54,115,0.47,0,1,0,54,114,0.474,0.47,14,21,0.667,15,135,150,62,28,10,16,70,122,3,8500000
"Kevin Martin","MIN",23,"SG",2.04,90.26,1983-02-01,"US",11,"Western Carolina University",9,32,39,12,834,126,334,0.377,38,103,0.369,88,231,0.381,0.434,125,142,0.88,10,71,81,46,17,1,41,68,415,4,7085000
"Nemanja Bjelica","MIN",88,"PF",1.86,108.86,1988-05-09,"RS",0,NA,8,27,60,0,1075,110,235,0.468,48,125,0.384,62,110,0.564,0.57,40,55,0.727,49,161,210,83,26,21,47,154,308,7,4e+06
"Nikola Pekovic","MIN",14,"C",1.86,139.25,1986-01-03,"ME",5,NA,16,30,12,3,156,19,50,0.38,0,0,NA,19,50,0.38,0.38,16,20,0.8,7,14,21,11,1,0,9,22,54,2,12100000
"Ricky Rubio","MIN",9,"PG",1.95,88,1990-10-21,"ES",4,NA,3,25,76,76,2323,219,586,0.374,62,190,0.326,157,396,0.396,0.427,266,314,0.847,40,286,326,658,162,10,193,201,766,1,12365000
"Shabazz Muhammad","MIN",15,"SF",2.01,101.15,1992-11-13,"US",2,"University of California, Los Angeles",6,23,82,0,1682,317,681,0.465,44,152,0.289,273,529,0.516,0.498,185,242,0.764,100,167,267,52,24,7,70,94,863,10,2056920
"Tayshaun Prince","MIN",12,"SF",2.1,96.16,1980-02-28,"US",13,"University of Kentucky",7,35,77,44,1462,102,229,0.445,4,23,0.174,98,206,0.476,0.454,13,19,0.684,32,115,147,73,36,13,27,62,221,13,1499187
"Tyus Jones","MIN",1,"PG",1.89,88.45,1996-05-10,"US",0,"Duke University",10,19,37,0,573,56,156,0.359,16,53,0.302,40,103,0.388,0.41,28,39,0.718,7,40,47,108,31,3,33,33,156,15,1282080
"Zach LaVine","MIN",8,"SG",1.98,85.73,1995-03-10,"US",1,"University of California, Los Angeles",4,20,82,33,2294,433,959,0.452,123,316,0.389,310,643,0.482,0.516,161,203,0.793,27,201,228,251,69,17,155,193,1150,9,2148360
"Alexis Ajinca","NOP",42,"C",2.19,112.49,1988-05-06,"FR",5,NA,10,27,59,17,861,150,315,0.476,0,1,0,150,314,0.478,0.476,52,62,0.839,75,194,269,31,19,36,54,134,352,7,4300000
"Alonzo Gee","NOP",15,"SF",2.01,102.06,1987-05-29,"US",6,"University of Alabama",5,28,73,38,1632,132,255,0.518,17,60,0.283,115,195,0.59,0.551,44,66,0.667,60,185,245,72,63,13,55,169,325,12,1375000
"Anthony Davis","NOP",23,"PF",1.86,114.76,1993-03-11,"US",3,"University of Kentucky",1,22,61,61,2164,560,1136,0.493,35,108,0.324,525,1028,0.511,0.508,326,430,0.758,130,497,627,116,78,125,121,148,1481,6,7070730
"Bryce Dejean-Jones","NOP",31,"SG",2.01,94.8,1992-08-21,"US",0,"Iowa State University",18,23,14,11,279,28,69,0.406,12,32,0.375,16,37,0.432,0.493,11,21,0.524,8,40,48,15,10,2,11,17,79,16,281659
"Dante Cunningham","NOP",44,"SF",2.07,104.33,1987-04-22,"US",6,"Villanova University",3,28,80,46,1971,186,412,0.451,55,174,0.316,131,238,0.55,0.518,57,82,0.695,57,179,236,77,42,33,41,173,484,10,3e+06
"Eric Gordon","NOP",10,"SG",1.95,97.52,1988-12-25,"US",7,"Indiana University",6,27,45,44,1481,231,552,0.418,113,294,0.384,118,258,0.457,0.521,111,125,0.888,10,89,99,121,43,14,73,98,686,1,15514031
"Ish Smith","NOP",4,"PG",1.83,79.38,1988-07-05,"US",5,"Wake Forest University",13,27,27,3,617,98,228,0.43,10,33,0.303,88,195,0.451,0.452,33,43,0.767,14,78,92,154,24,6,45,38,239,NA,NA
"Jimmer Fredette","NOP",32,"SG",1.89,88.45,1989-02-25,"US",4,"Brigham Young University",21,26,4,0,13,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,NA,0,0,0,1,1,0,1,1,2,21,54812
"Jordan Hamilton","NOP",25,"SF",2.04,99.79,1990-10-06,"US",4,"University of Texas at Austin",16,25,11,4,304,49,116,0.422,13,45,0.289,36,71,0.507,0.478,14,21,0.667,12,50,62,25,8,3,17,24,125,18,119462
"Jrue Holiday","NOP",11,"PG",1.95,92.99,1990-06-12,"US",6,"University of California, Los Angeles",4,25,65,23,1831,410,935,0.439,87,259,0.336,323,676,0.478,0.485,182,216,0.843,27,168,195,391,88,22,167,148,1089,4,10595507
"Kendrick Perkins","NOP",5,"C",1.86,122.47,1984-11-10,"US",12,NA,14,31,37,5,542,40,75,0.533,0,0,NA,40,75,0.533,0.533,11,25,0.44,25,103,128,31,11,11,41,64,91,11,1499200
"Luke Babbitt","NOP",8,"SF",2.1,102.06,1989-06-20,"US",5,"University of Nevada, Reno",11,26,47,13,845,122,289,0.422,44,109,0.404,78,180,0.433,0.498,39,50,0.78,25,123,148,53,11,7,23,90,327,14,1100000
"Nate Robinson","NOP",2,"PG",1.8,81.65,1984-05-31,"US",10,"University of Washington",20,31,2,1,23,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,4,1,0,0,5,0,22,44000
"Norris Cole","NOP",30,"PG",1.89,79.38,1988-10-13,"US",4,"Cleveland State University",8,27,45,23,1198,196,484,0.405,33,102,0.324,163,382,0.427,0.439,52,65,0.8,10,141,151,167,37,5,75,102,477,9,3036927
"Omer Asik","NOP",3,"C",2.13,115.67,1986-07-04,"TR",5,NA,9,29,68,64,1178,104,195,0.533,0,0,NA,104,195,0.533,0.533,61,112,0.545,120,294,414,26,21,23,60,124,269,3,1.1e+07
"Orlando Johnson","NOP",0,"SG",1.98,99.79,1989-03-11,"US",2,"University of California, Santa Barbara",19,26,5,1,54,4,17,0.235,1,5,0.2,3,12,0.25,0.265,1,2,0.5,1,5,6,2,1,0,3,4,10,20,55722
"Quincy Pondexter","NOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3382023
"Ryan Anderson","NOP",33,"PF",1.86,108.86,1988-05-06,"US",7,"University of California",2,27,66,7,2008,397,929,0.427,131,358,0.366,266,571,0.466,0.498,199,228,0.873,131,265,396,73,38,25,90,109,1124,5,8500000
"Tim Frazier","NOP",2,"PG",1.86,77.11,1990-11-01,"US",1,"Pennsylvania State University",15,25,16,1,469,76,169,0.45,13,31,0.419,63,138,0.457,0.488,45,59,0.763,15,56,71,120,23,1,38,42,210,17,144157
"Tyreke Evans","NOP",1,"SG",2.01,99.79,1989-09-19,"US",6,"University of Memphis",12,26,25,25,765,136,314,0.433,33,85,0.388,103,229,0.45,0.486,74,93,0.796,20,109,129,164,32,8,73,66,379,2,11227000
"Arron Afflalo","NYK",4,"SG",1.98,95.25,1985-10-15,"US",8,"University of California, Los Angeles",2,30,71,57,2371,354,799,0.443,91,238,0.382,263,561,0.469,0.5,110,131,0.84,23,243,266,144,25,10,82,142,909,3,8e+06
"Carmelo Anthony","NYK",7,"SF",2.07,108.86,1984-05-29,"US",12,"Syracuse University",1,31,72,72,2530,567,1307,0.434,105,310,0.339,462,997,0.463,0.474,334,403,0.829,98,458,556,299,62,38,176,180,1573,1,22875000
"Cleanthony Early","NYK",11,"SF",2.07,95.25,1991-04-17,"US",1,"Wichita State University",14,24,17,2,154,12,40,0.3,4,15,0.267,8,25,0.32,0.35,3,4,0.75,4,22,26,6,2,3,9,16,31,13,845059
"Darion Atkins","NYK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,75000
"Derrick Williams","NYK",23,"SF",2.07,108.86,1991-05-25,"US",4,"University of Arizona",7,24,80,9,1435,254,565,0.45,44,150,0.293,210,415,0.506,0.488,194,256,0.758,47,249,296,75,29,9,61,69,746,5,4900000
"Jerian Grant","NYK",13,"PG",1.95,88.45,1992-10-09,"US",0,"University of Notre Dame",9,23,76,6,1265,154,391,0.394,22,100,0.22,132,291,0.454,0.422,96,123,0.78,23,120,143,177,50,10,87,97,426,11,1572360
"Jose Calderon","NYK",3,"PG",1.92,90.72,1981-09-28,"ES",10,NA,6,34,72,72,2024,209,455,0.459,84,203,0.414,125,252,0.496,0.552,42,48,0.875,22,207,229,299,63,7,87,135,544,4,7402812
"Kevin Seraphin","NYK",1,"C",2.1,129.27,1989-12-07,"GF",5,NA,12,26,48,0,526,84,205,0.41,0,2,0,84,203,0.414,0.41,19,23,0.826,31,95,126,47,8,36,43,67,187,8,2800000
"Kristaps Porzingis","NYK",6,"PF",2.23,108.86,1995-08-02,"LV",0,NA,4,20,72,72,2047,373,886,0.421,81,243,0.333,292,643,0.454,0.467,201,240,0.838,132,394,526,93,53,134,121,205,1028,6,4131720
"Kyle O'Quinn","NYK",9,"PF",1.86,113.4,1990-03-26,"US",3,"Norfolk State University",11,25,65,1,764,129,271,0.476,5,22,0.227,124,249,0.498,0.485,46,60,0.767,76,174,250,72,20,49,61,107,309,7,3750000
"Lance Thomas","NYK",42,"PF",2.07,106.59,1988-04-24,"US",4,"Duke University",8,27,59,5,1313,169,382,0.442,44,109,0.404,125,273,0.458,0.5,102,119,0.857,34,97,131,53,22,7,57,109,484,10,1650000
"Langston Galloway","NYK",2,"PG",1.89,90.72,1991-12-09,"US",1,"Saint Joseph's University",5,24,82,7,2033,231,588,0.393,77,224,0.344,154,364,0.423,0.458,86,114,0.754,43,245,288,207,77,22,61,177,625,14,845059
"Lou Amundson","NYK",17,"PF",2.1,99.79,1982-12-07,"US",9,"University of Nevada, Las Vegas",13,33,29,0,204,19,53,0.358,0,0,NA,19,53,0.358,0.358,14,27,0.519,23,26,49,12,6,7,15,44,52,9,1650000
"Robin Lopez","NYK",8,"C",2.13,115.67,1988-04-01,"US",7,"Stanford University",3,27,82,82,2219,357,662,0.539,0,1,0,357,661,0.54,0.539,128,161,0.795,268,334,602,114,16,129,133,182,842,2,1.3e+07
"Sasha Vujacic","NYK",18,"SG",2.04,88.45,1984-03-08,"SI",8,NA,10,31,61,25,908,106,277,0.383,52,143,0.364,54,134,0.403,0.477,32,39,0.821,26,123,149,84,34,5,44,83,296,12,1356146
"Thanasis Antetokounmpo","NYK",43,"SF",2.04,92.99,1992-07-17,"GR",0,NA,15,23,2,0,6,3,4,0.75,0,1,0,3,3,1,0.75,0,0,NA,0,1,1,0,0,0,0,2,6,16,105888
"Tony Wroten","NYK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,167406
"Travis Trice","NYK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,50000
"Wesley Saunders","NYK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,75000
"Andre Roberson","OKC",21,"SG",2.04,95.25,1991-12-04,"US",2,"University of Colorado",7,24,70,70,1553,136,274,0.496,32,103,0.311,104,171,0.608,0.555,33,54,0.611,79,172,251,47,53,42,35,133,337,13,1210800
"Anthony Morrow","OKC",2,"SG",1.98,95.25,1985-09-27,"US",7,"Georgia Institute of Technology",9,30,68,6,926,136,333,0.408,79,204,0.387,57,129,0.442,0.527,29,39,0.744,10,52,62,24,22,5,17,64,380,8,3344000
"Cameron Payne","OKC",22,"PG",1.92,83.91,1994-08-08,"US",0,"Murray State University",11,21,57,1,698,114,278,0.41,36,111,0.324,78,167,0.467,0.475,19,24,0.792,9,76,85,108,36,6,44,80,283,11,2021520
"Dion Waiters","OKC",3,"SG",1.95,102.06,1991-12-10,"US",3,"Syracuse University",4,24,78,15,2152,282,706,0.399,86,240,0.358,196,466,0.421,0.46,112,157,0.713,36,166,202,154,81,15,120,143,762,5,5138430
"Enes Kanter","OKC",11,"C",1.86,111.13,1992-05-20,"CH",4,NA,6,23,82,1,1721,414,719,0.576,10,21,0.476,404,698,0.579,0.583,200,251,0.797,249,415,664,33,26,33,115,166,1038,3,16400000
"Josh Huestis","OKC",34,"PF",2.04,104.33,1991-12-19,"US",0,"Stanford University",15,24,5,0,55,5,12,0.417,4,6,0.667,1,6,0.167,0.583,0,4,0,2,8,10,0,1,2,3,3,14,14,1140240
"Kevin Durant","OKC",35,"SF",2.1,108.86,1988-09-29,"US",8,"University of Texas at Austin",2,27,72,72,2578,698,1381,0.505,186,481,0.387,512,900,0.569,0.573,447,498,0.898,45,544,589,361,69,85,250,137,2029,1,20158622
"Kyle Singler","OKC",5,"SF",2.07,103.42,1988-05-04,"US",3,"Duke University",8,27,68,2,977,86,221,0.389,30,97,0.309,56,124,0.452,0.457,29,44,0.659,50,91,141,24,30,9,32,120,231,6,5e+06
"Mitch McGary","OKC",33,"PF",1.86,115.67,1992-06-06,"US",1,"University of Michigan",14,23,20,0,72,11,23,0.478,0,4,0,11,19,0.579,0.478,4,10,0.4,4,14,18,3,1,2,7,10,26,12,1463040
"Nazr Mohammed","OKC",13,"C",1.86,100.24,1977-09-05,"US",17,"University of Kentucky",17,38,5,0,19,3,5,0.6,0,0,NA,3,5,0.6,0.6,2,2,1,1,3,4,0,0,0,3,4,8,15,352750
"Nick Collison","OKC",4,"PF",1.86,115.67,1980-10-26,"US",11,"University of Kansas",10,35,59,4,699,50,109,0.459,0,2,0,50,107,0.467,0.459,23,33,0.697,68,103,171,52,15,16,50,107,123,7,3750000
"Russell Westbrook","OKC",0,"PG",1.92,90.72,1988-11-12,"US",7,"University of California, Los Angeles",1,27,80,80,2750,656,1444,0.454,101,341,0.296,555,1103,0.503,0.489,465,573,0.812,145,481,626,834,163,20,342,200,1878,2,16744218
"Serge Ibaka","OKC",9,"PF",1.86,106.59,1989-09-18,"CG",6,NA,3,26,78,78,2500,416,869,0.479,60,184,0.326,356,685,0.52,0.513,91,121,0.752,141,392,533,66,38,148,108,211,983,4,12350000
"Steven Adams","OKC",12,"C",2.13,115.67,1993-07-20,"NZ",2,"University of Pittsburgh",5,22,80,80,2014,261,426,0.613,0,0,NA,261,426,0.613,0.613,114,196,0.582,219,314,533,62,42,89,84,223,636,10,2279040
"Aaron Gordon","ORL",0,"PF",2.1,99.79,1995-09-16,"US",1,"University of Arizona",5,20,78,37,1863,274,579,0.473,42,142,0.296,232,437,0.531,0.509,129,193,0.668,154,353,507,128,59,55,66,153,719,7,4171680
"Andrew Nicholson","ORL",44,"PF",2.1,113.4,1989-12-08,"CA",3,"St. Bonaventure University",9,26,56,0,823,146,310,0.471,41,114,0.36,105,196,0.536,0.537,51,65,0.785,34,167,201,25,10,22,41,69,384,10,2380594
"C.J. Watson","ORL",32,"PG",1.89,79.38,1984-04-17,"US",8,"University of Tennessee",12,31,33,2,656,47,137,0.343,14,48,0.292,33,89,0.371,0.394,34,39,0.872,10,56,66,88,19,5,25,49,142,5,5e+06
"Devyn Marble","ORL",11,"SG",2.01,90.72,1992-09-21,"US",1,"University of Iowa",16,23,28,0,249,21,71,0.296,8,32,0.25,13,39,0.333,0.352,10,24,0.417,6,32,38,12,13,1,7,25,60,16,845059
"Dewayne Dedmon","ORL",3,"C",2.13,111.13,1989-08-12,"US",2,"University of Southern California",11,26,58,20,705,99,177,0.559,0,0,NA,99,177,0.559,0.559,57,76,0.75,67,161,228,13,22,46,32,109,255,15,947278
"Elfrid Payton","ORL",4,"PG",1.95,83.91,1994-02-22,"US",1,"University of Louisiana at Lafayette",3,21,73,69,2145,318,730,0.436,30,92,0.326,288,638,0.451,0.456,112,190,0.589,77,184,261,468,89,20,177,159,778,9,2505720
"Evan Fournier","ORL",10,"SF",2.04,92.99,1992-10-29,"FR",3,NA,1,23,79,71,2566,429,929,0.462,156,390,0.4,273,539,0.506,0.546,199,238,0.836,33,192,225,213,96,2,133,214,1213,11,2288205
"Jason Smith","ORL",14,"C",2.13,111.13,1986-03-02,"US",7,"Colorado State University",8,29,76,2,1181,244,503,0.485,4,16,0.25,240,487,0.493,0.489,54,67,0.806,53,166,219,62,33,65,57,163,546,6,4300000
"Jordan Sibert","ORL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1e+05
"Keith Appling","ORL",15,"PG",1.86,83.91,1992-02-13,"US",0,"Michigan State University",17,23,5,0,27,2,8,0.25,0,3,0,2,5,0.4,0.25,2,2,1,0,1,1,1,1,0,3,5,6,18,161776
"Mario Hezonja","ORL",23,"SF",2.07,97.52,1995-02-25,"HR",0,NA,7,20,79,9,1413,181,418,0.433,67,192,0.349,114,226,0.504,0.513,49,54,0.907,28,148,176,109,39,17,97,124,478,8,3741480
"Nikola Vucevic","ORL",9,"C",2.13,117.93,1990-10-24,"CH",4,"University of Southern California",4,25,65,60,2037,533,1046,0.51,2,9,0.222,531,1037,0.512,0.511,113,150,0.753,174,402,576,179,53,70,123,173,1181,1,11250000
"Shabazz Napier","ORL",13,"PG",1.86,79.38,1991-07-14,"US",1,"University of Connecticut",13,24,55,0,600,68,201,0.338,34,104,0.327,34,97,0.351,0.423,33,45,0.733,9,46,55,97,23,1,46,38,203,12,1294440
"Victor Oladipo","ORL",5,"SG",1.95,95.25,1992-05-04,"US",2,"Indiana University",2,23,72,52,2379,425,970,0.438,98,282,0.348,327,688,0.475,0.489,205,247,0.83,48,297,345,282,116,54,153,174,1153,4,5192520
"Carl Landry","PHI",7,"PF",2.1,112.49,1983-09-19,"US",8,"Purdue University",12,32,36,12,569,139,250,0.556,6,13,0.462,133,237,0.561,0.568,67,91,0.736,49,97,146,32,12,9,22,69,351,3,6500000
"Christian Wood","PHI",35,"PF",1.86,99.79,1995-09-27,"US",0,"University of Nevada, Las Vegas",16,20,17,0,145,22,53,0.415,4,11,0.364,18,42,0.429,0.453,13,21,0.619,13,25,38,3,5,7,2,11,61,22,305789
"Elton Brand","PHI",42,"C",2.07,124.74,1979-03-11,"US",16,"Duke University",14,36,17,1,225,31,72,0.431,0,1,0,31,71,0.437,0.431,8,9,0.889,9,54,63,18,9,8,11,32,70,17,890693
"Furkan Aldemir","PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3e+06
"Gerald Wallace","PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10105855
"Hollis Thompson","PHI",31,"SG",2.07,93.44,1991-04-03,"US",2,"Georgetown University",1,24,77,17,2154,270,680,0.397,149,392,0.38,121,288,0.42,0.507,69,96,0.719,54,218,272,99,36,24,76,187,758,16,947276
"Isaiah Canaan","PHI",0,"SG",1.83,91.17,1991-05-21,"US",2,"Murray State University",3,24,77,39,1966,260,722,0.36,176,485,0.363,84,237,0.354,0.482,150,180,0.833,20,154,174,137,56,12,91,133,846,15,947276
"Jahlil Okafor","PHI",8,"C",1.86,124.74,1995-12-15,"US",0,"Duke University",9,20,53,48,1591,397,781,0.508,1,6,0.167,396,775,0.511,0.509,133,194,0.686,122,251,373,65,22,61,124,140,928,5,4582680
"Jerami Grant","PHI",39,"SF",2.07,95.25,1994-03-12,"US",1,"Syracuse University",2,21,77,52,2066,251,599,0.419,35,146,0.24,216,453,0.477,0.448,212,322,0.658,99,262,361,135,54,127,110,215,749,19,845059
"Joel Embiid","PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4626960
"Kendall Marshall","PHI",5,"PG",1.95,90.72,1991-08-19,"US",3,"University of North Carolina",13,24,30,6,400,43,118,0.364,16,49,0.327,27,69,0.391,0.432,9,13,0.692,2,26,28,73,16,2,43,30,111,11,2144722
"Nerlens Noel","PHI",4,"C",1.86,103.42,1994-04-10,"US",1,"University of Kentucky",4,21,67,62,1965,306,587,0.521,1,2,0.5,305,585,0.521,0.522,134,227,0.59,154,388,542,122,118,100,158,192,747,6,3457800
"Nik Stauskas","PHI",11,"SG",2.01,92.99,1993-10-07,"CA",1,"University of Michigan",6,22,73,35,1809,210,545,0.385,106,325,0.326,104,220,0.473,0.483,91,118,0.771,23,160,183,138,44,20,94,115,617,8,2869440
"Phil Pressey","PHI",26,"PG",1.56,79.38,1991-02-17,"US",2,"University of Missouri",15,24,14,0,170,21,55,0.382,4,13,0.308,17,42,0.405,0.418,9,18,0.5,0,23,23,46,11,1,19,14,55,23,172739
"Pierre Jackson","PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,750000
"Richaun Holmes","PHI",22,"PF",1.86,111.13,1993-10-15,"US",0,"Bowling Green State University",10,22,51,1,702,114,222,0.514,8,44,0.182,106,178,0.596,0.532,51,74,0.689,62,73,135,33,19,40,32,92,287,13,1050000
"Robert Covington","PHI",33,"SF",2.1,97.52,1990-12-14,"US",2,"Tennessee State University",5,25,67,49,1903,274,712,0.385,170,482,0.353,104,230,0.452,0.504,140,177,0.791,65,354,419,97,105,40,143,232,858,14,1e+06
"Sonny Weems","PHI",9,"SF",2.01,92.99,1986-07-08,"US",3,"University of Arkansas",18,29,7,0,78,7,21,0.333,2,9,0.222,5,12,0.417,0.381,1,2,0.5,1,11,12,2,0,0,4,7,17,9,2800000
"T.J. McConnell","PHI",12,"PG",1.89,90.72,1992-03-25,"US",0,"University of Arizona",8,23,81,17,1606,218,464,0.47,31,89,0.348,187,375,0.499,0.503,26,41,0.634,43,207,250,367,95,10,140,114,493,21,525093
"Alan Williams","PHO",15,"PF",2.07,117.93,1993-01-28,"US",0,"University of California, Santa Barbara",19,23,10,0,68,10,24,0.417,0,0,NA,10,24,0.417,0.417,9,14,0.643,14,24,38,5,4,5,6,15,29,18,114285
"Alex Len","PHO",21,"C",2.16,117.93,1993-06-16,"UA",2,"University of Maryland",4,22,78,46,1821,264,624,0.423,1,7,0.143,263,617,0.426,0.424,174,239,0.728,178,416,594,97,38,62,145,230,703,7,3807120
"Archie Goodwin","PHO",20,"PG",1.98,90.72,1994-08-17,"US",2,"University of Kentucky",9,21,57,13,1114,176,422,0.417,23,99,0.232,153,323,0.474,0.444,130,193,0.674,27,115,142,118,27,13,100,84,505,12,1160160
"Brandon Knight","PHO",3,"SG",1.92,85.73,1991-12-02,"US",4,"University of Kentucky",3,24,52,50,1870,371,895,0.415,120,351,0.342,251,544,0.461,0.482,156,183,0.852,36,166,202,263,61,20,177,124,1018,3,1.2e+07
