"Player","Team","Number","Position","Height","Weight","Birth_Date","Country","Experience","College","Rank_Totals","Age","Games","Games_Started","Minutes_Played","Field_Goals","Field_Goal_Attempts","Field_Goal_Percentage","3-Point_Field_Goals","3-Point_Field_Goal_Attempts","3-Point_Field_Goal_Percentage","2-Point_Field_Goals","2-point_Field_Goal_Attempts","2-Point_Field_Goal_Percentage","Effective_Field_Goal_Percentage","Free_Throws","Free_Throw_Attempts","Free_Throw_Percentage","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank_Salary","Salary"
"Cory Jefferson","PHO",55,"PF",2.1,98.88,1990-12-26,"US",1,"Baylor University",21,25,8,0,50,9,22,0.409,0,1,0,9,21,0.429,0.409,4,6,0.667,6,10,16,0,0,1,0,8,22,15,421449
"DeJuan Blair","PHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2e+06
"Devin Booker","PHO",1,"SG",2.01,93.44,1996-10-30,"US",0,"University of Kentucky",2,19,76,51,2108,367,867,0.423,99,289,0.343,268,578,0.464,0.48,215,256,0.84,27,160,187,200,44,20,160,225,1048,8,2127840
"Eric Bledsoe","PHO",2,"PG",1.86,86.18,1989-12-09,"US",5,"University of Kentucky",11,26,31,31,1059,223,492,0.453,48,129,0.372,175,363,0.482,0.502,138,172,0.802,18,107,125,190,63,19,110,75,632,1,13086957
"Jon Leuer","PHO",30,"PF",1.86,103.42,1989-05-14,"US",4,"University of Wisconsin",7,26,67,27,1255,224,466,0.481,42,110,0.382,182,356,0.511,0.526,77,101,0.762,76,297,373,72,38,30,75,125,567,13,1035000
"Markieff Morris","PHO",11,"PF",1.86,111.13,1989-09-02,"US",4,"University of Kansas",12,26,37,24,917,171,431,0.397,22,76,0.289,149,355,0.42,0.422,66,92,0.717,43,151,194,87,33,17,90,104,430,NA,NA
"Mirza Teletovic","PHO",35,"PF",2.1,109.77,1985-09-18,"BA",3,NA,5,30,79,1,1686,332,777,0.427,181,460,0.393,151,317,0.476,0.544,120,155,0.774,55,247,302,89,32,21,84,159,965,4,5500000
"P.J. Tucker","PHO",17,"SF",2.01,111.13,1985-05-05,"US",4,"University of Texas at Austin",1,30,82,80,2540,239,582,0.411,68,206,0.33,171,376,0.455,0.469,106,142,0.746,165,347,512,177,106,20,111,202,652,5,5500000
"Ronnie Price","PHO",14,"PG",1.89,86.18,1983-06-21,"US",10,"Utah Valley State College",8,32,62,18,1211,116,302,0.384,68,196,0.347,48,106,0.453,0.497,31,41,0.756,25,74,99,147,74,13,70,161,331,11,1499187
"T.J. Warren","PHO",12,"SF",2.07,104.33,1993-09-05,"US",1,"North Carolina State University",10,22,47,4,1070,221,441,0.501,28,70,0.4,193,371,0.52,0.533,45,64,0.703,57,90,147,44,37,16,32,94,515,9,2041080
"Tyson Chandler","PHO",4,"C",2.16,108.86,1982-10-02,"US",14,NA,6,33,66,60,1618,183,314,0.583,0,1,0,183,313,0.585,0.583,106,171,0.62,175,401,576,64,36,44,93,145,472,2,1.3e+07
"Al-Farouq Aminu","POR",8,"SF",2.1,99.79,1990-09-21,"US",5,"Wake Forest University",3,25,82,82,2341,299,719,0.416,126,349,0.361,173,370,0.468,0.503,115,156,0.737,98,401,499,138,72,53,120,171,839,2,7500000
"Allen Crabbe","POR",23,"SG",2.01,95.25,1992-04-09,"US",2,"University of California",4,23,81,8,2105,311,678,0.459,112,285,0.393,199,393,0.506,0.541,98,113,0.867,27,189,216,99,63,16,64,192,832,14,947276
"C.J. McCollum","POR",3,"SG",1.95,90.72,1991-09-19,"US",2,"Lehigh University",1,24,80,80,2780,641,1431,0.448,197,472,0.417,444,959,0.463,0.517,187,226,0.827,47,212,259,341,97,23,196,187,1666,12,2525160
"Chris Kaman","POR",35,"C",2.13,120.2,1982-04-28,"US",12,"Central Michigan University",14,33,16,2,112,20,43,0.465,1,4,0.25,19,39,0.487,0.477,3,3,1,7,17,24,11,1,1,8,15,44,5,5e+06
"Cliff Alexander","POR",34,"PF",2.07,111.13,1995-11-16,"US",0,"University of Kansas",16,20,8,0,36,5,10,0.5,0,0,NA,5,10,0.5,0.5,0,0,NA,2,4,6,0,1,2,1,1,10,18,525093
"Damian Lillard","POR",0,"PG",1.92,88.45,1990-07-15,"US",3,"Weber State University",2,25,75,75,2676,618,1474,0.419,229,610,0.375,389,864,0.45,0.497,414,464,0.892,45,257,302,512,65,28,242,165,1879,6,4236287
"Ed Davis","POR",17,"PF",1.86,108.86,1989-06-05,"US",5,"University of North Carolina",6,26,81,0,1684,206,337,0.611,0,0,NA,206,337,0.611,0.611,114,204,0.559,224,375,599,88,57,72,64,202,526,3,7e+06
"Gerald Henderson","POR",9,"SG",1.98,97.52,1987-12-09,"US",6,"Duke University",8,28,72,0,1431,232,529,0.439,48,136,0.353,184,393,0.468,0.484,112,146,0.767,30,181,211,75,39,19,68,87,624,4,6e+06
"Luis Montero","POR",44,"SG",2.04,83.91,1993-04-06,"DO",0,"Westchester CC",15,22,12,0,42,5,19,0.263,1,9,0.111,4,10,0.4,0.289,3,4,0.75,0,4,4,1,0,0,4,1,14,16,525093
"Mason Plumlee","POR",24,"C",1.86,111.13,1990-03-05,"US",2,"Duke University",5,25,82,82,2084,267,517,0.516,0,4,0,267,513,0.52,0.516,215,335,0.642,201,427,628,226,68,85,154,253,749,13,1415520
"Maurice Harkless","POR",4,"SF",2.1,97.52,1993-05-11,"US",3,"St. John's University",7,22,78,14,1457,195,411,0.474,39,140,0.279,156,271,0.576,0.522,69,111,0.622,101,179,280,67,49,35,62,124,498,8,2894059
"Meyers Leonard","POR",11,"PF",2.16,111.13,1992-02-27,"US",3,"University of Illinois at Urbana-Champaign",9,23,61,10,1333,195,435,0.448,86,228,0.377,109,207,0.527,0.547,35,46,0.761,51,263,314,92,8,18,77,183,511,7,3075880
"Noah Vonleh","POR",21,"PF",1.86,108.86,1995-08-24,"US",1,"Indiana University",10,20,78,56,1174,117,278,0.421,11,46,0.239,106,232,0.457,0.441,38,51,0.745,91,214,305,30,27,26,50,152,283,11,2637720
"Pat Connaughton","POR",5,"SG",1.98,93.44,1993-01-06,"US",0,"University of Notre Dame",12,23,34,0,143,13,49,0.265,5,21,0.238,8,28,0.286,0.316,5,5,1,11,21,32,10,2,0,10,6,36,17,525093
"Ben McLemore","SAC",23,"SG",1.98,88.45,1993-02-11,"US",2,"University of Kansas",8,22,68,53,1443,195,455,0.429,67,185,0.362,128,270,0.474,0.502,74,103,0.718,34,114,148,79,52,10,99,140,531,8,3156600
"Caron Butler","SAC",31,"SF",2.04,103.42,1980-03-13,"US",13,"University of Connecticut",13,35,17,1,176,25,59,0.424,3,18,0.167,22,41,0.537,0.449,10,12,0.833,5,17,22,10,9,1,3,19,63,10,1499187
"Darren Collison","SAC",7,"PG",1.83,79.38,1987-08-23,"US",6,"University of California, Los Angeles",4,28,74,15,2219,377,776,0.486,87,217,0.401,290,559,0.519,0.542,194,226,0.858,28,141,169,318,76,4,130,142,1035,6,5013559
"DeMarcus Cousins","SAC",15,"C",1.86,122.47,1990-08-13,"US",5,"University of Kentucky",3,25,65,65,2246,601,1332,0.451,70,210,0.333,531,1122,0.473,0.477,476,663,0.718,158,589,747,214,101,92,249,236,1748,1,14728844
"Duje Dukan","SAC",26,"SF",2.1,99.79,1991-12-04,"HR",0,"University of Wisconsin",15,24,1,0,24,2,10,0.2,2,5,0.4,0,5,0,0.3,0,0,NA,2,2,4,1,1,0,0,2,6,16,525093
"Eric Moreland","SAC",25,"PF",1.86,107.95,1991-12-24,"US",1,"Oregon State University",14,24,8,0,48,3,6,0.5,0,0,NA,3,6,0.5,0.5,2,4,0.5,3,8,11,1,0,4,3,4,8,15,845059
"James Anderson","SAC",5,"SG",2.01,96.62,1989-03-25,"US",4,"Oklahoma State University",11,26,51,15,721,67,178,0.376,23,86,0.267,44,92,0.478,0.441,22,29,0.759,13,73,86,41,21,14,42,54,179,11,1015421
"Kosta Koufos","SAC",41,"C",2.13,120.2,1989-02-24,"US",7,"Ohio State University",7,26,78,14,1482,236,444,0.532,0,0,NA,236,444,0.532,0.532,57,104,0.548,169,254,423,33,40,70,48,185,529,4,7500000
"Marco Belinelli","SAC",3,"SG",1.98,95.25,1986-03-25,"IT",8,NA,6,29,68,7,1672,245,635,0.386,91,297,0.306,154,338,0.456,0.457,115,138,0.833,10,107,117,127,37,2,80,91,696,5,6333333
"Marshall Henderson","SAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,35000
"Omri Casspi","SAC",18,"SF",2.1,102.06,1988-06-22,"IL",6,NA,5,27,69,21,1880,299,622,0.481,112,274,0.409,187,348,0.537,0.571,103,159,0.648,58,352,410,95,56,17,94,154,813,9,3e+06
"Quincy Acy","SAC",13,"PF",2.04,108.86,1990-10-06,"US",3,"Baylor University",10,25,59,29,876,119,214,0.556,19,49,0.388,100,165,0.606,0.6,50,68,0.735,65,123,188,27,29,24,27,103,307,12,981348
"Rajon Rondo","SAC",9,"PG",1.86,84.37,1986-02-22,"US",9,"University of Kentucky",1,29,72,72,2537,355,782,0.454,62,170,0.365,293,612,0.479,0.494,87,150,0.58,77,358,435,839,141,10,278,175,859,3,9500000
"Rudy Gay","SAC",8,"SF",2.07,104.33,1986-08-17,"US",9,"University of Connecticut",2,29,70,70,2379,466,1007,0.463,74,215,0.344,392,792,0.495,0.5,198,254,0.78,103,353,456,120,100,51,139,184,1204,2,12403101
"Seth Curry","SAC",30,"PG",1.89,83.91,1990-08-23,"US",2,"Duke University",12,25,44,9,692,102,224,0.455,50,111,0.45,52,113,0.46,0.567,45,54,0.833,9,51,60,67,22,3,36,41,299,13,947276
"Vince Hunter","SAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,35000
"Willie Cauley-Stein","SAC",0,"C",2.13,108.86,1993-08-18,"US",0,"University of Kentucky",9,22,66,39,1412,191,339,0.563,0,2,0,191,337,0.567,0.563,81,125,0.648,134,218,352,37,48,66,46,146,463,7,3398280
"Boban Marjanovic","SAS",40,"C",2.23,131.54,1988-08-15,"RS",0,NA,12,27,54,4,508,105,174,0.603,0,0,NA,105,174,0.603,0.603,87,114,0.763,73,121,194,21,12,23,29,54,297,12,1200000
"Boris Diaw","SAS",33,"PF",2.07,113.4,1982-04-16,"FR",12,NA,8,33,76,4,1386,202,383,0.527,25,69,0.362,177,314,0.564,0.56,56,76,0.737,58,175,233,176,26,21,97,102,485,5,7e+06
"Danny Green","SAS",14,"SG",2.01,97.52,1987-06-22,"US",6,"University of North Carolina",3,28,79,79,2062,211,561,0.376,116,349,0.332,95,212,0.448,0.48,34,46,0.739,48,255,303,141,79,64,75,141,572,4,1e+07
"David West","SAS",30,"PF",2.1,113.4,1980-08-29,"US",12,"Xavier University",7,35,78,19,1404,244,448,0.545,3,7,0.429,241,441,0.546,0.548,63,80,0.788,72,237,309,143,44,55,68,142,554,11,1499000
"Jonathon Simmons","SAS",17,"SG",2.01,88.45,1989-09-14,"US",0,"University of Houston",11,26,55,2,813,122,242,0.504,18,47,0.383,104,195,0.533,0.541,69,92,0.75,16,80,96,58,24,5,53,103,331,15,525093
"Kawhi Leonard","SAS",2,"SF",2.04,104.33,1991-06-29,"US",4,"San Diego State University",1,24,72,72,2380,551,1090,0.506,129,291,0.443,422,799,0.528,0.565,292,334,0.874,95,398,493,186,128,71,105,133,1523,2,16500000
"Kyle Anderson","SAS",1,"SF",2.1,104.33,1993-09-20,"US",1,"University of California, Los Angeles",9,22,78,11,1245,138,295,0.468,12,37,0.324,126,258,0.488,0.488,62,83,0.747,25,219,244,123,60,29,59,97,350,13,1142879
"LaMarcus Aldridge","SAS",12,"PF",1.86,117.93,1985-07-19,"US",9,"University of Texas at Austin",2,30,74,74,2261,536,1045,0.513,0,16,0,536,1029,0.521,0.513,259,302,0.858,176,456,632,110,38,81,99,151,1331,1,19500000
"Manu Ginobili","SAS",20,"SG",2.01,92.99,1977-07-28,"AR",13,NA,10,38,58,0,1134,197,435,0.453,70,179,0.391,127,256,0.496,0.533,91,112,0.813,26,120,146,177,66,11,99,99,555,8,2814000
"Matt Bonner","SAS",15,"C",1.86,106.59,1980-04-05,"US",11,"University of Florida",16,35,30,2,206,29,57,0.509,15,34,0.441,14,23,0.609,0.64,3,4,0.75,3,24,27,9,6,1,3,16,76,9,1499187
"Patrick Mills","SAS",8,"PG",1.83,83.91,1988-08-11,"AU",6,"Saint Mary's College of California",5,27,81,3,1662,260,612,0.425,123,320,0.384,137,292,0.469,0.525,47,58,0.81,27,131,158,226,59,6,76,102,690,7,3578947
"Rasual Butler","SAS",18,"SF",2.04,97.52,1979-05-23,"US",12,"La Salle University",13,36,46,0,432,49,104,0.471,15,49,0.306,34,55,0.618,0.543,11,16,0.688,3,53,56,24,13,23,8,11,124,10,1499187
"Tim Duncan","SAS",21,"C",1.86,113.4,1976-04-25,"VI",18,"Wake Forest University",6,39,61,60,1536,215,441,0.488,0,2,0,215,439,0.49,0.488,92,131,0.702,115,332,447,163,47,78,90,125,522,6,5e+06
"Tony Parker","SAS",9,"PG",1.89,83.91,1982-05-17,"BE",14,NA,4,33,72,72,1980,350,710,0.493,27,65,0.415,323,645,0.501,0.512,130,171,0.76,17,159,176,379,54,11,131,114,857,3,13437500
"Bismack Biyombo","TOR",8,"C",2.1,115.67,1992-08-28,"CD",4,NA,5,23,82,22,1808,156,288,0.542,0,1,0,156,287,0.544,0.542,142,226,0.628,182,473,655,29,19,133,71,225,454,8,3e+06
"Bruno Caboclo","TOR",20,"SF",2.1,98.88,1995-09-21,"BR",1,NA,16,20,6,1,43,1,12,0.083,1,7,0.143,0,5,0,0.125,0,0,NA,1,1,2,1,2,1,4,2,3,12,1524000
"Cory Joseph","TOR",6,"SG",1.92,87.54,1991-08-20,"CA",4,"University of Texas at Austin",3,24,80,4,2046,257,585,0.439,30,110,0.273,227,475,0.478,0.465,133,174,0.764,39,171,210,250,63,20,102,131,677,4,7e+06
"Delon Wright","TOR",55,"PG",1.98,83.01,1992-04-26,"US",0,"University of Utah",13,23,27,1,229,36,80,0.45,5,13,0.385,31,67,0.463,0.481,26,35,0.743,8,29,37,31,8,3,16,7,103,13,1509360
"DeMar DeRozan","TOR",10,"SG",2.04,100.24,1989-08-07,"US",6,"University of Southern California",2,26,78,78,2804,614,1377,0.446,47,139,0.338,567,1238,0.458,0.463,555,653,0.85,64,285,349,315,81,21,175,167,1830,3,9500000
"DeMarre Carroll","TOR",5,"SF",2.07,97.52,1986-07-27,"US",6,"University of Missouri",10,29,26,22,786,105,270,0.389,46,118,0.39,59,152,0.388,0.474,30,50,0.6,31,91,122,27,44,6,28,63,286,1,13500000
"James Johnson","TOR",3,"PF",2.1,113.4,1987-02-20,"US",6,"Wake Forest University",9,28,57,32,926,114,240,0.475,20,66,0.303,94,174,0.54,0.517,39,68,0.574,28,98,126,67,29,33,54,84,287,10,2500000
"Jonas Valanciunas","TOR",17,"C",2.13,120.2,1992-05-06,"LT",3,NA,8,23,60,59,1557,303,536,0.565,0,0,NA,303,536,0.565,0.565,162,213,0.761,184,363,547,42,25,80,85,158,768,6,4660482
"Kyle Lowry","TOR",7,"PG",1.86,88.9,1986-03-25,"US",9,"Villanova University",1,29,77,77,2851,512,1198,0.427,212,547,0.388,300,651,0.461,0.516,398,491,0.811,55,310,365,494,158,34,225,211,1634,2,1.2e+07
"Lucas Nogueira","TOR",92,"C",2.13,109.32,1992-07-26,"BR",1,NA,14,23,29,1,225,28,44,0.636,1,3,0.333,27,41,0.659,0.648,8,15,0.533,18,28,46,7,12,12,11,29,65,11,1842000
"Luis Scola","TOR",4,"PF",2.1,108.86,1980-04-30,"AR",8,NA,7,35,76,76,1636,269,598,0.45,65,161,0.404,204,437,0.467,0.504,61,84,0.726,84,276,360,66,46,27,68,178,664,9,3e+06
"Michale Kyser","TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,25000
"Norman Powell","TOR",24,"SG",1.95,97.52,1993-05-25,"US",0,"University of California, Los Angeles",11,22,49,24,725,97,229,0.424,36,89,0.404,61,140,0.436,0.502,43,53,0.811,16,95,111,47,29,10,32,59,273,15,650000
"Patrick Patterson","TOR",54,"PF",2.1,104.33,1989-03-14,"US",5,"University of Kentucky",4,26,79,0,2020,204,493,0.414,106,293,0.362,98,200,0.49,0.521,29,34,0.853,77,265,342,94,53,32,65,128,543,5,6268675
"Ronald Roberts","TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,75000
"Shannon Scott","TOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,25000
"Terrence Ross","TOR",31,"SF",2.04,93.44,1991-02-05,"US",3,"University of Washington",6,24,73,7,1747,270,626,0.431,131,339,0.386,139,287,0.484,0.536,49,62,0.79,21,164,185,56,54,25,46,120,720,7,3553917
"Alec Burks","UTA",10,"SG",2.01,97.07,1991-07-20,"US",4,"University of Colorado",12,24,31,3,797,137,334,0.41,32,79,0.405,105,255,0.412,0.458,106,141,0.752,16,93,109,63,18,4,51,71,412,3,9213484
"Chris Johnson","UTA",23,"SF",2.01,93.44,1990-04-29,"US",3,"University of Dayton",11,25,70,2,857,72,194,0.371,27,99,0.273,45,95,0.474,0.441,34,42,0.81,27,105,132,45,32,20,40,100,205,14,981348
"Dante Exum","UTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3777720
"Derrick Favors","UTA",15,"PF",1.86,120.2,1991-07-15,"US",5,"Georgia Institute of Technology",3,24,62,59,1983,418,811,0.515,0,4,0,418,807,0.518,0.515,180,254,0.709,169,334,503,94,74,91,104,150,1016,2,11933333
"E.J. Singler","UTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,50000
"Elijah Millsap","UTA",13,"SG",2.01,102.06,1987-08-12,"US",1,"University of Alabama at Birmingham",14,28,20,0,173,11,39,0.282,1,12,0.083,10,27,0.37,0.295,13,18,0.722,6,29,35,19,7,3,9,33,36,17,362878
"Gordon Hayward","UTA",20,"SF",2.07,102.51,1990-03-23,"US",5,"Butler University",1,25,80,80,2893,521,1202,0.433,143,410,0.349,378,792,0.477,0.493,393,477,0.824,61,336,397,296,95,27,202,183,1578,1,15409570
"Grant Jerrett","UTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,947276
"J.J. O'Brien","UTA",22,"SF",2.04,103.42,1992-04-08,"US",0,"San Diego State University",17,23,2,0,6,0,1,0,0,0,NA,0,1,0,0,0,0,NA,0,1,1,0,1,0,0,1,0,18,105888
"Jeff Withey","UTA",24,"C",2.13,104.78,1990-03-07,"US",2,"University of Kansas",13,25,51,10,658,87,162,0.537,0,2,0,87,160,0.544,0.537,43,59,0.729,56,117,173,20,21,53,28,75,217,15,947276
"Joe Ingles","UTA",2,"SF",2.07,102.51,1987-10-02,"AU",1,NA,9,28,81,2,1241,124,291,0.426,81,210,0.386,43,81,0.531,0.565,13,18,0.722,19,132,151,96,55,4,65,98,342,9,2250000
"Raul Neto","UTA",25,"PG",1.86,81.19,1992-05-19,"BR",0,NA,6,23,81,53,1499,180,418,0.431,64,162,0.395,116,256,0.453,0.507,52,70,0.743,17,103,120,174,62,2,109,122,476,13,1e+06
"Rodney Hood","UTA",5,"SG",2.07,93.44,1992-10-20,"US",1,"Duke University",2,23,79,79,2541,408,972,0.42,161,449,0.359,247,523,0.472,0.503,172,200,0.86,38,229,267,213,73,16,125,202,1149,11,1348440
"Rudy Gobert","UTA",27,"C",2.16,111.13,1992-06-26,"FR",2,NA,4,23,61,60,1932,198,354,0.559,0,0,NA,198,354,0.559,0.559,161,283,0.569,208,460,668,91,45,135,114,163,557,12,1175880
"Tibor Pleiss","UTA",21,"C",2.23,116.12,1989-11-02,"DE",0,NA,15,26,12,0,82,11,25,0.44,0,2,0,11,23,0.478,0.44,2,2,1,6,9,15,2,1,2,8,19,24,6,3e+06
"Treveon Graham","UTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,75000
"Trevor Booker","UTA",33,"PF",2.07,103.42,1987-11-25,"US",5,"Clemson University",5,28,79,2,1632,190,388,0.49,12,41,0.293,178,347,0.513,0.505,71,106,0.67,166,286,452,84,59,41,81,169,463,4,4775000
"Trey Burke","UTA",3,"PG",1.86,86.64,1992-11-12,"US",2,"University of Michigan",8,23,64,0,1366,262,634,0.413,88,256,0.344,174,378,0.46,0.483,67,82,0.817,18,94,112,148,35,6,80,86,679,7,2658240
"Trey Lyles","UTA",41,"PF",1.86,106.14,1995-11-05,"CA",0,"University of Kentucky",7,20,80,33,1382,191,436,0.438,49,128,0.383,142,308,0.461,0.494,57,82,0.695,59,240,299,59,26,18,65,114,488,10,2239800
"Alan Anderson","WAS",6,"SG",2.01,99.79,1982-10-16,"US",6,"Michigan State University",16,33,13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65,9,4e+06
"Bradley Beal","WAS",3,"SG",1.98,93.89,1993-06-28,"US",3,"University of Florida",6,22,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,5,5694674
"Drew Gooden","WAS",90,"PF",1.86,113.4,1981-09-24,"US",13,"University of Kansas",13,34,30,0,305,33,103,0.32,7,41,0.171,26,62,0.419,0.354,9,14,0.643,28,57,85,13,8,11,13,40,82,10,3300000
"Garrett Temple","WAS",17,"SF",2.01,88.45,1986-05-08,"US",5,"Louisiana State University",5,29,80,43,1951,201,505,0.398,89,258,0.345,112,247,0.453,0.486,91,125,0.728,36,176,212,140,69,18,64,195,582,14,1100602
"Gary Neal","WAS",14,"SG",1.95,95.25,1984-10-03,"US",5,"Towson University",9,31,40,2,807,151,325,0.465,41,100,0.41,110,225,0.489,0.528,47,55,0.855,11,72,83,47,20,1,29,55,390,12,2100000
"Jared Dudley","WAS",1,"PF",2.04,102.06,1985-07-10,"US",8,"Boston College",4,30,81,41,2098,233,487,0.478,100,238,0.42,133,249,0.534,0.581,72,98,0.735,54,232,286,170,75,18,80,190,638,8,4250000
"Jarell Eddie","WAS",8,"SF",2.04,98.88,1991-10-30,"US",0,"Virginia Polytechnic Institute and State University",17,24,26,0,147,20,65,0.308,15,47,0.319,5,18,0.278,0.423,8,8,1,2,21,23,5,5,1,1,5,63,15,561716
"John Wall","WAS",2,"PG",1.95,88.45,1990-09-06,"US",5,"University of Kentucky",1,25,77,77,2784,572,1349,0.424,115,328,0.351,457,1021,0.448,0.467,272,344,0.791,42,337,379,789,145,59,318,159,1531,1,15851950
"Kelly Oubre","WAS",12,"SF",2.04,92.99,1995-12-09,"US",0,"University of Kansas",11,20,63,9,671,90,211,0.427,25,79,0.316,65,132,0.492,0.486,31,49,0.633,25,108,133,13,22,7,34,100,236,13,1920240
"Marcin Gortat","WAS",13,"C",1.86,108.86,1984-02-17,"PL",8,NA,3,31,75,74,2256,433,764,0.567,0,1,0,433,763,0.567,0.567,146,207,0.705,222,519,741,106,47,96,121,193,1012,3,11217391
"Martell Webster","WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5613500
"Nene Hilario","WAS",42,"PF",1.86,113.4,1982-09-13,"BR",13,NA,8,33,57,11,1094,209,384,0.544,0,3,0,209,381,0.549,0.544,107,185,0.578,52,207,259,97,54,26,76,156,525,2,1.3e+07
"Otto Porter","WAS",22,"SF",2.07,89.81,1993-06-03,"US",2,"Georgetown University",2,22,75,73,2276,339,717,0.473,98,267,0.367,241,450,0.536,0.541,95,126,0.754,97,294,391,120,105,32,70,163,871,7,4662960
"Ramon Sessions","WAS",7,"PG",1.92,86.18,1986-04-11,"US",8,"University of Nevada, Reno",7,29,82,5,1667,280,592,0.473,36,111,0.324,244,481,0.507,0.503,214,283,0.756,25,178,203,239,46,5,115,102,810,11,2170465
